Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area within region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E57.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,8:32,IC10 0mR2 62,50,7,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,IC10,0,71˚ 42.31' N,165˚ 35.05' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E58.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,8:32,IC10 37mR1 63,50,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,IC10,37,71˚ 42.31' N,165˚ 35.05' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E58.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,8:32,IC10 37mR2 64,50,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,IC10,37,71˚ 42.31' N,165˚ 35.05' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E59.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,17:03,DBO4-5 0mR1 65,52,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO4-5,0,71˚ 43.446' N,161˚ 46.356' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E59.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,17:03,DBO4-5 0mR2 66,52,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO4-5,0,71˚ 43.446' N,161˚ 46.356' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E60.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,17:03,DBO4-5 35mR1 67,52,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO4-5,35,71˚ 43.446' N,161˚ 46.356' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E60.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,17:03,DBO4-5 35mR2 68,52,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO4-5,35,71˚ 43.446' N,161˚ 46.356' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E61.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,20:11,DBO4-3 0mR1 69,54,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO4-3,0,71˚ 27.294' N,161˚ 02.238' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E61.2B.DY2012,2,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,20:11,DBO4-3 0mR2 70,54,8,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO4-3,0,71˚ 27.294' N,161˚ 02.238' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
E62.1B.DY2012,1,1,FALSE,DY2012,DY20-12 Dyson 2020,9/13/20,,20:11,DBO4-3 38R1 71,54,2,Niskin; 0.22 µm swinex filter,95% EtOH,Chukchi Sea,DBO4-3,38,71˚ 27.294' N,161˚ 02.238' W,1000,"Sarah Donohoe, Penelope Adams",Filter stored in Whirlpak
