Sample	lat	long	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
E1309.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1310.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1312.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1313.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1315.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1316.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1317.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1318.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1319.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1320.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1321.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1322.OC1021	47.35015	-124.4854333	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1323.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Oct	2021_Oct	OCNMS	Niskin	1000	33
E1324.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Oct	2021_Oct	OCNMS	Niskin	1000	33
E1325.OC1021	47.87788333	-124.739	TeahwhiteHead	NA	deep	2021	Oct	2021_Oct	OCNMS	Niskin	1000	33
E1389.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jul	2022_Jul	OCNMS	Niskin	1000	32.9098
E1390.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jul	2022_Jul	OCNMS	Niskin	1000	33.337
E1391.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jul	2022_Jul	OCNMS	Niskin	1000	33.337
E1403.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	PPS	1000	33.7088
E1404.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	PPS	87	33.7088
E1406.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	PPS	1000	33.7088
E1408.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	PPS	28	33.7088
E1410.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jun	2022_Jun	OCNMS	PPS	1000	33.7088
E1412.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jul	2022_Jul	OCNMS	PPS	1000	33.7088
E1414.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jul	2022_Jul	OCNMS	PPS	812	33.7088
E1416.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jul	2022_Jul	OCNMS	PPS	216	33.7088
E1418.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jul	2022_Jul	OCNMS	PPS	1000	33.7088
E1420.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jul	2022_Jul	OCNMS	PPS	1000	33.7088
E1422.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jul	2022_Jul	OCNMS	PPS	479	33.7088
E1424.OC0722	47.87831667	-124.73645	TeahwhiteHead	NA	deep	2022	Jul	2022_Jul	OCNMS	PPS	87	33.7088
