ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_219	Eukaryota	Nemertea	Pilidiophora	Heteronemertea	Lineidae	NA	NA
ASV_2195	Eukaryota	Endomyxa	Ascetosporea	Haplosporida	Haplosporidiidae	NA	NA
ASV_2197	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA
ASV_22	Eukaryota	Porifera	Demospongiae	Poecilosclerida	NA	NA	NA
ASV_220	Eukaryota	Mollusca	Bivalvia	Mytilida	Mytilidae	Mytilus	Mytilus californianus
ASV_2200	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	NA	NA	NA
ASV_2201	Bacteria	Candidatus Woesebacteria	NA	NA	NA	NA	NA
ASV_2202	Bacteria	Candidatus Woesebacteria	NA	NA	NA	NA	NA
ASV_2203	Eukaryota	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV_2206	Eukaryota	Nemertea	NA	NA	NA	NA	NA
ASV_2207	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_2208	Eukaryota	Porifera	Demospongiae	Poecilosclerida	NA	NA	NA
ASV_221	Eukaryota	Chordata	Chondrichthyes	Carcharhiniformes	Carcharhinidae	Prionace	Prionace glauca
ASV_2210	Eukaryota	Mollusca	Cephalopoda	Octopoda	Octopodidae	Enteroctopus	NA
ASV_2211	Eukaryota	Rotifera	Eurotatoria	Ploima	NA	NA	NA
ASV_2214	Eukaryota	Mollusca	Bivalvia	Cardiida	Tellinidae	NA	NA
ASV_2215	Eukaryota	Annelida	Polychaeta	Sabellida	Oweniidae	NA	NA
ASV_2216	Eukaryota	Nemertea	Pilidiophora	Heteronemertea	Lineidae	Maculaura	Maculaura cerebrosa
ASV_222	Eukaryota	Nemertea	Palaeonemertea	Carinomiformes	Carinomidae	Carinoma	Carinoma hamanako
ASV_2225	Eukaryota	Picozoa	NA	NA	NA	NA	NA
ASV_2228	Eukaryota	Echinodermata	Asteroidea	Valvatida	NA	NA	NA
ASV_2229	Eukaryota	Cnidaria	Anthozoa	Scleralcyonacea	Coralliidae	Paragorgia	Paragorgia coralloides
ASV_223	Eukaryota	Nemertea	Palaeonemertea	Archinemertea	Cephalotrichidae	Cephalothrix	NA
ASV_2232	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	NA	NA
ASV_2235	Eukaryota	Rotifera	Eurotatoria	Ploima	NA	NA	NA
ASV_224	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula	Ennucula decipiens
ASV_2241	Bacteria	Candidatus Beckwithbacteria	NA	NA	NA	NA	NA
ASV_2242	Bacteria	Pseudomonadota	Gammaproteobacteria	Candidatus Pseudothioglobus__f__o	Candidatus Pseudothioglobus__f	NA	NA
ASV_2247	Eukaryota	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	Benthocodon	Benthocodon pedunculatus
ASV_225	Eukaryota	Nemertea	Palaeonemertea	Carinomiformes	Carinomidae	Carinoma	Carinoma sp_ 5 TCH_2015
ASV_2258	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Cellariidae	NA	NA
ASV_2259	Eukaryota	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV_226	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiuridae	Ophiura	Ophiura luetkenii
ASV_2260	Eukaryota	Mollusca	Gastropoda	Nudibranchia	Onchidorididae	Corambe	NA
ASV_2263	Eukaryota	Chordata	Mammalia	Artiodactyla	Delphinidae	Orcinus	Orcinus orca
ASV_227	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_2271	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Hippothoidae	Celleporella	Celleporella sp_ CAL_2
ASV_2274	Eukaryota	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV_2276	Eukaryota	Arthropoda	Malacostraca	Amphipoda	NA	NA	NA
ASV_228	Eukaryota	Chordata	Mammalia	Artiodactyla	Phocoenidae	Phocoena	Phocoena phocoena
ASV_2280	Eukaryota	Picozoa	NA	NA	NA	NA	NA
ASV_2281	Eukaryota	Arthropoda	Arachnida	Araneae	NA	NA	NA
ASV_2282	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	Bugulidae	NA	NA
ASV_2283	Eukaryota	Mollusca	Bivalvia	Cardiida	NA	NA	NA
ASV_2285	Bacteria	Pseudomonadota	Gammaproteobacteria	Candidatus Pseudothioglobus__f__o	NA	NA	NA
ASV_2286	Bacteria	Planctomycetota	Planctomycetia	Pirellulales	Pirellulaceae	Mariniblastus	NA
ASV_229	Eukaryota	Annelida	Polychaeta	Sabellida	Oweniidae	NA	NA
ASV_2290	Eukaryota	Brachiopoda	Rhynchonellata	Terebratulida	Cancellothyrididae	Terebratulina	Terebratulina unguicula
