dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E1490_RC0083	448125	413348	411484	411381	403744	383773	85.6
MP_E1494_RC0083	427655	395063	394170	394086	390451	383280	89.6
MP_E1495_RC0083	347523	331735	330367	330014	323110	311368	89.6
MP_E1496_RC0083	494431	401919	399067	398858	391198	373284	75.5
MP_E1497_RC0083	508481	483959	481713	481183	472041	457054	89.9
MP_E1498_RC0083	422076	368221	366193	366048	357576	344044	81.5
MP_E1499_RC0083	383022	340832	338923	338403	331799	310034	80.9
MP_E1503_RC0083	465037	437606	434674	434288	423765	402894	86.6
MP_E1504_RC0083	437231	388012	386420	386279	378249	358571	82
MP_E1505_RC0083	452233	390195	387758	386751	376895	361400	79.9
MP_E1506_RC0083	415645	304932	303333	302721	295499	277605	66.8
MP_E1510_RC0083	278547	260870	258301	257824	252521	246018	88.3
MP_E1511_RC0083	372439	340845	339601	339200	331730	302242	81.2
MP_E1517_RC0083	335637	306127	303779	303369	297830	290559	86.6
MP_E1518_RC0083	426787	379262	377569	377061	371638	361384	84.7
MP_E1519_RC0083	428924	345439	344189	344461	335464	249381	58.1
MP_E1526_RC0083	450529	417661	415778	415608	408009	395560	87.8
MP_E1527_RC0083	442215	403100	401575	401352	396977	380727	86.1
MP_E1528_RC0083	374518	355276	354216	353971	349822	319167	85.2
MP_E1529_RC0083	320104	301907	300170	299630	293595	285061	89.1
MP_E1530_RC0083	344722	316083	314664	314645	309382	291736	84.6
MP_E1531_RC0083	358588	340922	340088	339692	332438	287342	80.1
MP_E1532_RC0083	365395	230224	229853	229725	228057	219771	60.1
MP_E1533_RC0083	339970	315580	314739	314581	309263	208066	61.2
MP_E1534_RC0083	477942	457581	455937	455880	449534	420087	87.9
MP_E1539_RC0083	61049	56788	56701	56683	56348	55952	91.7
MP_E1540_RC0083	105383	54351	54318	54294	54131	53927	51.2
MP_E1541_RC0083	288232	262841	261920	261427	258053	249336	86.5
MP_E1542_RC0083	353900	314053	313073	312887	303948	248061	70.1
MP_E1546_RC0083	323141	285213	284136	284030	279671	263197	81.4
MP_E1547_RC0083	549888	510242	508531	508034	498821	463130	84.2
MP_E1548_RC0083	351346	319298	318633	318565	316056	311522	88.7
MP_E1553_RC0083	365964	343281	341729	341327	335069	305133	83.4
MP_E1554_RC0083	378774	292452	291477	291617	285677	242734	64.1
MP_E1555_RC0083	378345	322530	321402	320992	314248	273628	72.3
MP_E1556_RC0083	325950	309394	308008	307759	302096	293192	89.9
MP_E1557_RC0083	329266	312407	311905	311778	308525	278083	84.5
MP_E1558_RC0083	380673	362564	360814	360377	353205	343534	90.2
MP_E1559_RC0083	435452	390405	387999	387467	379161	362595	83.3
MP_E1560_RC0083	521191	489754	487387	487060	474893	455483	87.4
MP_E1561_RC0083	335838	316107	313959	313194	306829	294285	87.6
MP_E1562_RC0083	368317	346874	345032	345144	339189	332624	90.3
MP_E1563_RC0083	360282	334067	332322	331824	326945	314502	87.3
MP_E1564_RC0083	441428	393945	390881	389541	380113	365710	82.8
MP_E1565_RC0083	419468	386541	384178	383208	373250	359557	85.7
MP_E1566_RC0083	519886	485465	483478	482591	472441	419924	80.8
MP_E1567_RC0083	398440	368514	366508	366033	359698	348665	87.5
MP_E1568_RC0083	451954	388400	386347	385457	376211	358366	79.3
MP_E1569_RC0083	412974	389953	387835	387106	380149	344691	83.5
MP_E1611_DY2209	500565	301894	300501	300866	296332	279799	55.9
MP_E1612_DY2209	252588	193494	193110	192844	191294	183315	72.6
MP_E1613_DY2209	533832	411653	411159	411188	408662	400801	75.1
MP_E1614_DY2209	397487	245921	245215	245467	243981	241912	60.9
MP_E1615_DY2209	142207	14123	13982	14035	13807	13004	9.1
MP_E1616_DY2209	394619	200921	200612	200622	199454	181057	45.9
MP_E1617_DY2209	402218	375316	373394	373672	367702	353722	87.9
MP_E1618_DY2209	299945	230984	229728	229695	226511	208757	69.6
MP_E1619_DY2209	426423	333535	333084	332631	330580	320569	75.2
MP_E1620_DY2209	379326	356883	355217	355090	349507	331253	87.3
MP_E1621_DY2209	379837	342985	342073	341960	337954	319531	84.1
MP_E1622_DY2209	354842	321010	320203	320128	315013	296110	83.4
MP_E1718_DY2306	312437	291658	289719	289536	283556	272651	87.3
MP_E1719_DY2306	169524	156819	155940	155921	154246	147722	87.1
MP_E1720_DY2306	319692	299356	298368	298450	290230	283748	88.8
MP_E1721_DY2306	343270	313262	312332	312332	309576	294690	85.8
MP_E1722_DY2306	455645	431268	429374	429605	423091	358359	78.6
MP_E1723_DY2306	572121	537470	535025	535174	524482	500422	87.5
MP_E1724_DY2306	373760	346708	345870	345235	342026	308953	82.7
MP_E1725_DY2306	311760	292421	291532	291536	289432	272278	87.3
MP_E1726_DY2306	160059	151795	151108	150782	146916	142471	89
MP_E1727_DY2306	314586	288431	287207	286982	282811	269982	85.8
MP_E1728_DY2306	239539	227687	226960	226784	224945	215123	89.8
MP_E1729_DY2306	308888	288215	286576	286489	281451	267371	86.6
MP_E1730_DY2306	512903	480988	478556	479194	473229	447741	87.3
MP_E1731_DY2306	465184	433267	431674	431247	426005	397827	85.5
MP_E1732_DY2306	345706	307460	306055	305417	299825	262000	75.8
MP_E1733_DY2306	375778	285777	285037	284965	282881	269710	71.8
MP_E1734_DY2306	216364	204350	203780	203602	201698	193779	89.6
