reads.in	reads.out
MP_E754_WCOA21_R1_trimmed.fq.gz	131187	120390
MP_E777_WCOA21_R1_trimmed.fq.gz	147661	138358
MP_E782_WCOA21_R1_trimmed.fq.gz	133651	125421
MP_E786_WCOA21_R1_trimmed.fq.gz	134751	126456
MP_E790_WCOA21_R1_trimmed.fq.gz	130308	121610
MP_E806_1B_WCOA21_R1_trimmed.fq.gz	133741	124866
MP_E815_WCOA21_R1_trimmed.fq.gz	143300	124197
MP_E820_WCOA21_R1_trimmed.fq.gz	126381	115732
MP_E828_WCOA21_R1_trimmed.fq.gz	151291	137665
MP_E834_WCOA21_R1_trimmed.fq.gz	109065	84190
MP_E882_1B_WCOA21_R1_trimmed.fq.gz	155251	140449
MP_E888_WCOA21_R1_trimmed.fq.gz	127205	118591
MP_E893_WCOA21_R1_trimmed.fq.gz	120266	112265
MP_E897_WCOA21_R1_trimmed.fq.gz	123807	115985
MP_E902_1B_WCOA21_R1_trimmed.fq.gz	126127	118267
MP_E969_1T_NA128_R1_trimmed.fq.gz	162840	140896
MP_E970_1T_NA128_R1_trimmed.fq.gz	144956	135221
MP_E971_1T_NA128_R1_trimmed.fq.gz	125569	110511
MP_E972_1T_NA128_R1_trimmed.fq.gz	126886	114636
MP_E973_1T_NA128_R1_trimmed.fq.gz	146382	134177
MP_E977_2T_NA128_R1_trimmed.fq.gz	133003	124380
MP_E978_2T_NA128_R1_trimmed.fq.gz	151414	138993
MP_E979_1T_NA128_R1_trimmed.fq.gz	134228	121485
MP_E980_1T_NA128_R1_trimmed.fq.gz	137422	127840
MP_E985_1T_NA128_R1_trimmed.fq.gz	129989	117687
MP_E991_1T_NA128_R1_trimmed.fq.gz	163177	138575
MP_E994_2T_NA128_R1_trimmed.fq.gz	165461	152122
MP_E995_1T_NA128_R1_trimmed.fq.gz	130209	119760
MP_E996_1T_NA128_R1_trimmed.fq.gz	136259	125889
MP_E1005_1T_NA128_R1_trimmed.fq.gz	138051	127407
MP_E1011_2T_NA128_R1_trimmed.fq.gz	152662	142295
MP_E1012_1T_NA128_R1_trimmed.fq.gz	126138	116457
MP_E1013_1T_NA128_R1_trimmed.fq.gz	138561	113339
MP_E1014_1T_NA128_R1_trimmed.fq.gz	129588	121915
MP_E1015_1T_NA128_R1_trimmed.fq.gz	127043	60490
MP_E1020_1T_NA128_R1_trimmed.fq.gz	152989	107595
MP_E1021_1T_NA128_R1_trimmed.fq.gz	149984	123027
MP_E1022_1T_NA128_R1_trimmed.fq.gz	146193	129940
MP_E1024_1T_NA128_R1_trimmed.fq.gz	150078	135018
MP_E1025_1T_NA128_R1_trimmed.fq.gz	172901	145606
MP_E1623_1B_Chaba22_R1_trimmed.fq.gz	170462	155516
MP_E1624_1B_Chaba22_R1_trimmed.fq.gz	157941	141153
MP_E1625_1B_Chaba22_R1_trimmed.fq.gz	178211	167097
MP_E1626_1B_Chaba22_R1_trimmed.fq.gz	168799	154979
MP_E1627_1B_Chaba22_R1_trimmed.fq.gz	200934	183833
MP_E1631_Chaba22_R1_trimmed.fq.gz	156395	141793
MP_E1632_Chaba22_R1_trimmed.fq.gz	117881	109115
MP_E1634_Chaba22_R1_trimmed.fq.gz	186368	167586
MP_E1635_Chaba22_R1_trimmed.fq.gz	158296	142183
MP_E1637_Chaba22_R1_trimmed.fq.gz	134801	119081
MP_E2084_SKQ23_12S_R1_trimmed.fq.gz	33215	29602
MP_E2090_SKQ23_12S_R1_trimmed.fq.gz	162753	151710
MP_E2097_SKQ23_12S_R1_trimmed.fq.gz	172074	92949
MP_E2138_1T_QiavacTest_R1_trimmed.fq.gz	161541	142201
MP_E2138_2T_QiavacTest_R1_trimmed.fq.gz	534	12
MP_E2139_1T_QiavacTest_R1_trimmed.fq.gz	157310	132865
