Percent	Sample	TerminalTaxa
0.0140548137737175	MP_E265_2B_NO20	zzOther
0.014901762993191	MP_E266_1B_NO20	zzOther
0.00900406820172387	MP_E266_2B_NO20	zzOther
0.0183892827260273	MP_E267_1B_NO20	zzOther
0.00277266887864028	MP_E267_2B_NO20	zzOther
0.00802103293079631	MP_E268_1B_NO20	zzOther
0.00351673084700462	MP_E268_2B_NO20	zzOther
0.0106692272812142	MP_E269_1B_NO20	zzOther
0.0291594136307004	MP_E269_2B_NO20	zzOther
0.00853298948546073	MP_E270_2B_NO20	zzOther
0.00485333229795578	MP_E271_1B_NO20	zzOther
0.0198268455488732	MP_E271_2B_NO20	zzOther
0.00161740325906757	MP_E272_2B_NO20	zzOther
0.0106827334978474	MP_E273_1B_NO20	zzOther
0.0257564772770634	MP_E274_1B_NO20	zzOther
0.0598964913758411	MP_E275_1B_NO20	zzOther
0.0383892836723025	MP_E275_2B_NO20	zzOther
0.00652273172004435	MP_E276_1B_NO20	zzOther
0.0286543898525254	MP_E276_2B_NO20	zzOther
0.0180369758003908	MP_E277_1B_NO20	zzOther
0.0390718655927824	MP_E277_2B_NO20	zzOther
0.0604159818041278	MP_E277_3B_NO20	zzOther
0.0298453233675906	MP_E278_2B_NO20	zzOther
0.0495715600878125	MP_E278_3B_NO20	zzOther
0.0480965428787967	MP_E279_1B_NO20	zzOther
0.0226855778904385	MP_E279_2B_NO20	zzOther
0.0194811244843855	MP_E280_2B_NO20	zzOther
0.00426480152679895	MP_E281_1B_NO20	zzOther
0.00501584170003595	MP_E281_2B_NO20	zzOther
0.0196162046908316	MP_E281_3B_NO20	zzOther
0.0180184238383747	MP_E282_1B_NO20	zzOther
0.0118200844093087	MP_E282_2B_NO20	zzOther
0.0498883645612686	MP_E282_3B_NO20	zzOther
0.0282305800928877	MP_E283_1B_NO20	zzOther
0.0178194885806777	MP_E283_2B_NO20	zzOther
0.0394556795191444	MP_E283_3B_NO20	zzOther
0.0171194305536784	MP_E284_1B_NO20	zzOther
0.0195681951601331	MP_E284_2B_NO20	zzOther
0.00676289297238807	MP_E285_2B_NO20	zzOther
0.00185415237424212	MP_E285_3B_NO20	zzOther
0.0251339803306335	MP_E286_1B_NO20	zzOther
0.0103067668609336	MP_E286_2B_NO20	zzOther
0.00660153155532083	MP_E287_1B_NO20	zzOther
0.0122856411568979	MP_E287_2B_NO20	zzOther
0.0020865283298384	MP_E288_1B_NO20	zzOther
0.00720169239771346	MP_E288_2B_NO20	zzOther
0.0135207078090538	MP_E289_1B_NO20	zzOther
0.0144503757097685	MP_E289_2B_NO20	zzOther
0.00484116930375917	MP_E289_3B_NO20	zzOther
0.0128882587962366	MP_E290_1B_NO20	zzOther
0.00438615728760033	MP_E290_2B_NO20	zzOther
0.00261351360769418	MP_E290_3B_NO20	zzOther
0.0207684319833853	MP_E291_1B_NO20	zzOther
0.0629588634909674	MP_E291_3B_NO20	zzOther
0.0189837372650762	MP_E292_1B_NO20	zzOther
0.0136278462324683	MP_E292_2B_NO20	zzOther
0.023559669771962	MP_E292_3B_NO20	zzOther
0.0113328800181326	MP_E293_1B_NO20	zzOther
0.0386052303860523	MP_E293_2B_NO20	zzOther
0.0048812462519002	MP_E293_3B_NO20	zzOther
0.00550867064759932	MP_E294_1B_NO20	zzOther
0.0101536587016855	MP_E294_2B_NO20	zzOther
0.0128819866886138	MP_E294_3B_NO20	zzOther
0.0161852891906546	MP_E295_1B_NO20	zzOther
0.0507075133226816	MP_E295_2B_NO20	zzOther
0.0519178266123618	MP_E295_3B_NO20	zzOther
0.0556851007552292	MP_E296_1B_NO20	zzOther
0.0166321895237996	MP_E296_2B_NO20	zzOther
0.020836468450114	MP_E296_3B_NO20	zzOther
0.00771201617809616	MP_E297_1B_NO20	zzOther
0.00707582632384288	MP_E297_2B_NO20	zzOther
0.00632415066656548	MP_E297_3B_NO20	zzOther
0.0605326876513317	MP_E298_1B_NO20	zzOther
0.00328004355897846	MP_E298_2B_NO20	zzOther
0.0248368094252508	MP_E298_3B_NO20	zzOther
0.00184580172397881	MP_E299_1B_NO20	zzOther
0.0106077035500448	MP_E299_3B_NO20	zzOther
