ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_10149	Unknown	NA	NA	NA	NA	NA	NA
ASV_1015	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA
ASV_10150	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira sp_ RCC5341
ASV_10151	Unknown	NA	NA	NA	NA	NA	NA
ASV_10152	Eukaryota	Cercozoa	Auranticordis__f__o__c	Auranticordis__f__o	Auranticordis__f	NA	NA
ASV_10153	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_10154	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Oxytoxaceae	NA	NA
ASV_10155	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_10156	Unknown	NA	NA	NA	NA	NA	NA
ASV_10157	Unknown	NA	NA	NA	NA	NA	NA
ASV_10158	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_10159	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	Karlodinium veneficum
ASV_1016	Eukaryota	Ciliophora	Spirotrichea	Tintinnida	Codonellidae	Tintinnopsis	NA
ASV_10160	Unknown	NA	NA	NA	NA	NA	NA
ASV_10161	Eukaryota	Cercozoa	NA	NA	NA	NA	NA
ASV_10162	Eukaryota	Chordata	Ascidiacea	Stolidobranchia	Molgulidae	NA	NA
ASV_10163	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	NA	NA
ASV_10164	Eukaryota	Dictyochophyceae__p	Dictyochophyceae	Florenciellales	Pseudochattonella__f	Pseudochattonella	Pseudochattonella sp_
ASV_10165	Eukaryota	Cnidaria	Anthozoa	Actiniaria	NA	NA	NA
ASV_10166	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	NA	NA
ASV_10167	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	NA
ASV_10168	Eukaryota	Bacillariophyta	Bacillariophyceae	NA	NA	NA	NA
ASV_10169	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Rhogostomidae	Rhogostoma	NA
ASV_1017	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_10170	Eukaryota	Cnidaria	Scyphozoa	Rhizostomeae	Rhizostomatidae	Rhopilema	Rhopilema nomadica
ASV_10171	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellidae	NA	NA
ASV_10172	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Gymnodinium	NA
ASV_10173	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	Coscinodiscus	NA
ASV_10174	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula	Navicula sp_ A44
ASV_10175	Eukaryota	Cercozoa	Thecofilosea	Cryomonadida	Rhogostomidae	NA	NA
ASV_10176	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	NA	NA
ASV_10177	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Paragymnodinium	NA
ASV_10178	Eukaryota	Dinophyceae__p	Dinophyceae	Prorocentrales	Prorocentraceae	NA	NA
ASV_10179	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_1018	Eukaryota	Bigyra__p	Bigyra	Oblongichytrida	Oblongichytrium__f	Oblongichytrium	Oblongichytrium sp_
ASV_10180	Unknown	NA	NA	NA	NA	NA	NA
ASV_10181	Unknown	NA	NA	NA	NA	NA	NA
ASV_10182	Eukaryota	Cnidaria	Anthozoa	Malacalcyonacea	Plexauridae	Alaskagorgia	Alaskagorgia sp_ JNT_2014
ASV_10183	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	NA
ASV_10184	Eukaryota	Porifera	Demospongiae	Suberitida	NA	NA	NA
ASV_10185	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
