x	MP_E446_1B_PCR2	MP_E446_1B_PCR3	MP_E446_2B_PCR2	MP_E446_2B_PCR3	MP_E446_3B_PCR2	MP_E446_3B_PCR3	MP_E449_1B_PCR2	MP_E449_1B_PCR3	MP_E449_2B_PCR2	MP_E449_2B_PCR3	MP_E449_3B_PCR2	MP_E449_3B_PCR3	MP_E475_PCR2	MP_E475_PCR3	MP_E486_PCR2	MP_E486_PCR3	MP_E492_1B_PCR2	MP_E492_1B_PCR3	MP_E573_1B_PCR2	MP_E573_1B_PCR3	MP_E573_2B_PCR2	MP_E573_2B_PCR3	MP_E573_3B_PCR2	MP_E573_3B_PCR3	MP_E598_1B_PCR2	MP_E598_1B_PCR3	MP_E598_2B_PCR2	MP_E598_2B_PCR3	MP_E598_3B_PCR2	MP_E598_3B_PCR3
ASV_138	99	40	179	22	103	99	4	9	7	7	2	1	0	0	7	4	2	9	6	8	127	226	3	8	0	0	13	4	367	0
ASV_140	0	0	0	0	0	0	0	162	89	157	32	0	0	0	0	0	0	0	0	0	0	0	565	481	0	0	0	0	0	0
ASV_143	0	0	0	0	37	0	22	24	68	53	61	246	0	0	71	0	0	0	0	237	0	18	0	1	0	0	0	0	0	0
ASV_146	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_148	510	2	0	38	62	0	0	0	0	0	0	0	0	0	0	83	342	245	0	0	0	61	0	0	0	0	0	0	79	0
ASV_150	250	15	148	439	0	54	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_152	0	0	633	0	30	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0
ASV_153	6	0	8	16	26	13	0	3	1	0	8	1	0	0	11	82	204	287	72	64	41	25	248	205	0	0	7	0	0	0
ASV_157	0	1	32	14	0	0	0	0	0	0	0	0	88	88	0	0	0	0	0	18	4	0	12	457	0	0	0	0	0	0
ASV_159	752	13	0	1371	155	0	0	148	0	0	0	0	0	0	2104	947	0	0	0	0	3663	2986	0	0	0	0	0	0	0	0
ASV_16	0	0	0	7444	0	0	1791	1727	1612	1819	2320	2875	50	82	1625	10758	30506	988	0	0	0	0	0	8510	0	0	4574	0	0	0
ASV_164	0	11	115	0	97	620	15	34	12	2	10	12	0	0	0	0	0	0	0	37	10	0	0	0	0	0	0	0	0	0
ASV_165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	617	0
ASV_166	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	608	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_167	0	0	0	0	0	0	31	55	302	0	0	173	13	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_17	0	0	0	0	0	0	0	0	0	0	16110	18123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0
