ASVs_new	ASVs_original
ASV_732	ASV_500;ASV_1108
ASV_733	ASV_566;ASV_864
ASV_734	ASV_990;ASV_587
ASV_735	ASV_530;ASV_1021
ASV_736	ASV_556;ASV_902
ASV_737	ASV_786;ASV_635
ASV_738	ASV_414;ASV_5184
ASV_739	ASV_450;ASV_1567
ASV_740	ASV_638;ASV_758
ASV_741	ASV_699;ASV_699
ASV_742	NA;ASV_545
ASV_743	ASV_539;ASV_1025
ASV_744	ASV_555;ASV_941
ASV_745	NA;ASV_548
ASV_746	NA;ASV_551
ASV_747	NA;ASV_553
ASV_748	ASV_627;ASV_792
ASV_749	ASV_629;ASV_790
ASV_750	ASV_804;ASV_643
ASV_751	ASV_730;ASV_693
ASV_752	ASV_1120;ASV_586
ASV_753	ASV_904;ASV_624
ASV_754	ASV_620;ASV_813
ASV_755	ASV_643;ASV_784
ASV_756	ASV_562;ASV_954
ASV_757	NA;ASV_560
ASV_758	NA;ASV_561
ASV_759	ASV_592;ASV_890
ASV_760	ASV_745;ASV_698
ASV_761	NA;ASV_563
ASV_762	ASV_574;ASV_932
ASV_763	ASV_537;ASV_1115
ASV_764	ASV_583;ASV_919
ASV_765	ASV_2312;ASV_567
ASV_766	ASV_579;ASV_939
ASV_767	ASV_554;ASV_1048
ASV_768	ASV_889;ASV_640
ASV_769	ASV_706;ASV_741
ASV_770	ASV_624;ASV_848
ASV_771	ASV_912;ASV_639
ASV_772	ASV_577;ASV_975
ASV_773	ASV_763;ASV_709
ASV_774	NA;ASV_570
ASV_775	ASV_455;ASV_2230
ASV_776	ASV_617;ASV_865
ASV_777	ASV_642;ASV_829
ASV_778	ASV_589;ASV_947
ASV_779	ASV_593;ASV_946
ASV_780	ASV_847;ASV_670
ASV_781	ASV_545;ASV_1136
ASV_782	ASV_636;ASV_852
ASV_783	ASV_756;ASV_728
ASV_784	ASV_526;ASV_1306
ASV_785	ASV_878;ASV_667
