% Cruise_CSN    Bottle        Date                PrDM      DepSM      T090C      T190C      C0S/m      C1S/m      C1S/m         V0         V1         V2         V3         V4         V5         V6         V7  FlECO-AFL   CStarAt0   CStarTr0        Par Sbox0Mm/Kg Sbox1Mm/Kg   Latitude  Longitude       Sal00      Sal11  Sigma-t00  Sigma-t11    
SKQ202312S_003       9    2023 09 15 08 16 43   30.244     29.952    -1.2063    -1.1931   2.542100   2.545409   2.545409     0.1546     4.2393     0.0123     0.0000     2.5479     2.5544     2.5253     0.0000     0.5796     0.4232    89.9601 8.6443e-07    352.508    333.839   62.05020 -175.20838     31.4457    31.4767    25.2788    25.3036  
SKQ202312S_003      10    2023 09 15 08 16 50   30.115     29.824    -1.2056    -1.1889   2.542182   2.545845   2.545845     0.1392     4.2410     0.0124     0.0000     2.5520     2.5608     2.5336     0.0000     0.4875     0.4215    89.9977 1.2102e-06    353.109    335.539   62.05018 -175.20840     31.4461    31.4783    25.2791    25.3048  
SKQ202312S_003      11    2023 09 15 08 16 58   29.962     29.672    -1.2109    -1.2128   2.541596   2.543538   2.543538     0.1388     4.2389     0.0123     0.0000     2.5545     2.5566     2.5435     0.0000     0.4851     0.4236    89.9522 1.0373e-06    352.871    334.280   62.05018 -175.20840     31.4438    31.4722    25.2774    25.3004  
SKQ202312S_003      12    2023 09 15 08 18 57   27.424     27.160    -1.3386    -1.3384   2.525000   2.527067   2.527067     0.3743     4.1056     0.0122     0.0000     2.6186     2.6193     2.6755     0.0000     1.8978     0.5514    87.1218 1.0000e-12    366.124    346.029   62.05016 -175.20864     31.3536    31.3816    25.2073    25.2300  
SKQ202312S_003      13    2023 09 15 08 21 02   20.065     19.872    -0.4750    -0.5551   2.585773   2.582211   2.582211     0.2254     4.1404     0.0122     0.0000     2.7968     2.7890     3.0441     0.0000     1.0048     0.5176    87.8624 3.4577e-07    386.052    363.828   62.05010 -175.20898     31.2769    31.3123    25.1199    25.1513  
SKQ202312S_003      14    2023 09 15 08 21 15   20.623     20.424    -0.7360    -0.7733   2.567243   2.566759   2.566759     0.2419     4.1369     0.0122     0.0000     2.7944     2.7935     3.0223     0.0000     1.1036     0.5210    87.7878 1.0000e-12    387.158    366.491   62.05010 -175.20900     31.2994    31.3316    25.1468    25.1740  
SKQ202312S_003      15    2023 09 15 08 23 33   10.273     10.174     7.3331     7.3334   3.158272   3.160521   3.160521     0.1843     4.0907     0.0190     0.0000     2.6661     2.6467     3.5399     0.0000     0.7575     0.5660    86.8061 1.7715e-03    293.577    275.243   62.05004 -175.20942     30.6491    30.6730    23.9498    23.9685  
SKQ202312S_003      16    2023 09 15 08 23 53   10.205     10.107     7.3342     7.3360   3.158393   3.160757   3.160757     0.1862     4.0908     0.0156     0.0000     2.6667     2.6457     3.5233     0.0000     0.7691     0.5658    86.8098 8.1134e-04    293.514    275.184   62.05002 -175.20948     30.6495    30.6733    23.9499    23.9684  
SKQ202312S_003      17    2023 09 15 08 24 00   10.203     10.105     7.3349     7.3361   3.158463   3.160785   3.160785     0.1807     4.0912     0.0272     0.0000     2.6674     2.6480     3.5213     0.0000     0.7363     0.5655    86.8166 4.0746e-03    293.867    275.969   62.05002 -175.20950     30.6496    30.6735    23.9500    23.9685  
SKQ202312S_003      18    2023 09 15 08 26 35    1.178      1.167     7.3352     7.3366   3.158314   3.160486   3.160486     0.1831     4.0811     0.8243     0.0000     2.6654     2.6498     3.9729     0.0000     0.7506     0.5754    86.6025 6.6130e-01    293.168    275.372   62.04998 -175.20984     30.6518    30.6739    23.9516    23.9688  
