time (UTC),pressure,latitude (degrees_north),longitude (degrees_east),BTLID,salinity_ch1 (PSU),salinity_ch2 (PSU),sigma_t_ch1 (kg m-3),sigma_t_ch2 (kg m-3),chlor_fluorescence (ugrams/l),par (umol m-2 s-1),temperature_ch1 (degree_C),oxy_percentsat_ch1 (percent),oxy_conc_ch1 (umol/kg),oxy_conc_ch2 (umol/kg),temperature_ch2 (degree_C),transmissometry (percent),Water_Depth (dbar),air_pressure_at_sealevel (mbar),wind_direction (degrees),wind_speed (m s-1),air_temperature (degree_C),Station_Name,profile_id,SI (uM/l),PO4 (uM/l),NO2 (uM/l),NO3 (uM/l),NH4 (uM/l),PO4_WOCE_FLAG,SI_WOCE_FLAG,NO3_WOCE_FLAG,NO2_WOCE_FLAG,NH4_WOCE_FLAG
2023-09-14T13:19:49Z,49.0,62.19483,-174.67366,NaN,31.8005,31.8145,25.573961,25.5853,0.0836,3.9036E-6,-1.5147,79.28757,294.48923,294.59668,-1.5135,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,50.0,62.19483,-174.67366,7.0,31.81,31.8236,25.581669,25.592684,0.0871,3.0678E-6,-1.5145,79.04401,293.56097,294.8121,-1.5133,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,40.1,1.873,0.03,12.9,2.73,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,51.0,62.19483,-174.67366,NaN,31.823,31.8366,25.592226,25.60324,0.094,3.0003E-6,-1.5146,78.7933,292.6006,293.3357,-1.5134,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,52.0,62.19483,-174.67366,NaN,31.8298,31.8432,25.597828,25.60868,0.0868,2.9663E-6,-1.5183,78.73693,292.4048,293.17792,-1.5171,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,53.0,62.19483,-174.67366,NaN,31.8358,31.8494,25.60278,25.613802,0.0816,3.0158E-6,-1.5219,78.58739,291.86398,292.39456,-1.5211,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,54.0,62.19483,-174.67366,NaN,31.8368,31.85,25.603613,25.614304,0.0725,4.3981E-6,-1.5229,78.55185,291.7376,291.48825,-1.5217,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,55.0,62.19483,-174.67366,NaN,31.838,31.8512,25.604607,25.6153,0.0808,3.4854E-6,-1.5238,78.590294,291.8847,291.64383,-1.5227,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,56.0,62.19483,-174.67366,6.0,31.838,31.8506,25.604603,25.614788,0.0915,3.288E-6,-1.5236,78.52182,291.6288,292.301,-1.5216,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,41.1,1.902,0.04,13.0,2.79,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,57.0,62.19483,-174.67366,NaN,31.8383,31.8513,25.60486,25.615389,0.0912,2.2878E-6,-1.5242,78.52325,291.63815,292.54688,-1.5231,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2023-09-14T13:19:49Z,58.0,62.19483,-174.67366,NaN,31.8383,31.851,25.60486,25.615145,0.0824,2.0316E-6,-1.5242,78.47164,291.44647,292.89722,-1.523,NaN,NaN,NaN,NaN,NaN,NaN,,skq202312sc001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
