Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
E1286.OC1021	47.87788333	-124.739	E1286.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1287.OC1021	47.87788333	-124.739	E1287.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1288.OC1021	47.87788333	-124.739	E1288.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1289.OC1021	47.87788333	-124.739	E1289.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1290.OC1021	47.87788333	-124.739	E1290.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1291.OC1021	47.87788333	-124.739	E1291.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1292.OC1021	47.87788333	-124.739	E1292.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1293.OC1021	47.87788333	-124.739	E1293.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1294.OC1021	47.87788333	-124.739	E1294.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1295.OC1021	47.87788333	-124.739	E1295.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1296.OC1021	47.87788333	-124.739	E1296.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1297.OC1021	47.87788333	-124.739	E1297.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1298.OC1021	47.87788333	-124.739	E1298.OC1021	TeahwhiteHead	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1299.OC1021	47.35015	-124.4854333	E1299.OC1021	CapeElizabeth	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1300.OC1021	47.35015	-124.4854333	E1300.OC1021	CapeElizabeth	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1301.OC1021	47.35015	-124.4854333	E1301.OC1021	CapeElizabeth	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1302.OC1021	47.35015	-124.4854333	E1302.OC1021	CapeElizabeth	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
E1303.OC1021	47.35015	-124.4854333	E1303.OC1021	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
E1304.OC1021	47.35015	-124.4854333	E1304.OC1021	CapeElizabeth	NA	deep	2021	Sep	2021_Sep	OCNMS	PPS	1000	34
