Sample_Name,Biological_Replicate,Technical_Replicate,Negative_control,Cruise_ID_short,Cruise_ID_long,Collection_Date_UTC,Collection_Date_local,Collection_Time_UTC,Collection_Time_local,Field_Sample_Name,Cast_No.,Rosette_position,Field_collection_method,Preservation,Area.within.region,Station,Depth_m,Lat,Lon,Sample_volume_ml,Personnel_responsible_for_Collecting_Sample,Field_Notes
E1492.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,1:04,17:09,NA,29,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,JH1,24.9,58.63,-134.95188,1000,Kesten Bozinovic,
E1493.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,1:04,17:11,NA,29,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,JH1,3.3,58.63,-134.95204,1000,Kesten Bozinovic,
E1494.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,1:34,17:41,NA,30,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,LC2,301.1,58.62,-135.01396,1000,Kesten Bozinovic,
E1495.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,1:34,17:48,NA,30,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,LC2,100.3,58.62,-135.01336,1000,Kesten Bozinovic,
E1496.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,1:34,17:52,NA,30,7,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,LC2,10,58.62,-135.0126,1000,Kesten Bozinovic,
E1497.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,3:14,19:18,NA,32,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,JH3,129.7,58.56,-135.11926,1000,Kesten Bozinovic,
E1498.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,3:14,19:22,NA,32,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,JH3,24.3,58.56,-135.11926,1000,Kesten Bozinovic,
E1499.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,3:14,19:23,NA,32,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,JH3,3.4,58.57,-135.11963,1000,Kesten Bozinovic,
E1500.NC.RC0083,NA,NA,TRUE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,NA,NA,NA,NA,NA,Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,NA,NA,NA,NA,1000,Kesten Bozinovic,
E1501.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,4:23,20:39,NA,33,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,LC1,551.4,58.45,-135.04592,1000,Kesten Bozinovic,
E1502.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,4:23,20:52,NA,33,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,LC1,100.8,58.45,-135.04856,1000,Kesten Bozinovic,
E1503.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,4:23,20:57,NA,33,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,LC1,2.9,58.45,-135.0483,1000,Kesten Bozinovic,
E1504.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,7:40,23:46,NA,35,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,UCC,150,58.13,-135.06748,1000,Kesten Bozinovic,
E1505.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,7:40,23:49,NA,35,2,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,UCC,50.6,58.13,-135.06794,1000,Kesten Bozinovic,
E1506.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/17/22,7:40,23:51,NA,35,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,UCC,3,58.13,-135.06832,1000,Kesten Bozinovic,
E1507.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,9:04,1:13,NA,37,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,UCA,386.6,58.08,-135.00172,1000,Kesten Bozinovic,
E1508.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,9:04,1:22,NA,37,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,UCA,100.9,58.08,-135.00034,1000,Kesten Bozinovic,
E1509.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,9:04,1:28,NA,37,8,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,UCA,2.9,58.08,-134.99913,1000,Kesten Bozinovic,
E1510.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,11:39,3:45,NA,38,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,ISA,95.7,58.22,-135.53126,1000,Kesten Bozinovic,
E1511.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,11:39,3:50,NA,38,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,ISA,3.2,58.22,-135.53144,1000,Kesten Bozinovic,
E1512.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,13:46,5:52,NA,41,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,ISD,213.4,58.27,-135.39854,1000,Kesten Bozinovic,
E1513.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,13:46,6:00,NA,41,4,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,ISD,3.4,58.27,-135.3979,1000,Kesten Bozinovic,
E1514.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,21:43,13:46,NA,42,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,XS1,70.1,58.11,-136.52538,1000,Kesten Bozinovic,
E1515.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,21:43,13:49,NA,42,3,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,XS1,24.7,58.11,-136.52466,1000,Kesten Bozinovic,
E1516.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,21:43,13:50,NA,42,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,XS1,3,58.11,-136.52413,1000,Kesten Bozinovic,
E1517.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,22:19,14:27,NA,43,1,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,XS2,314.5,58.13,-136.55502,1000,Kesten Bozinovic,
E1518.RC0083,1,1,FALSE,RC_GOA_2022,RC Alaska OA Cruise 2022,8/18/22,8/18/22,22:19,14:34,NA,43,5,Niskin; Sterivex 0.22µm filter,95% EtOH,Gulf of Alaska,XS2,100.2,58.13,-136.55322,1000,Kesten Bozinovic,
