reads.in	reads.out
MP_E283_1B_NO20_R1_trimmed.fq.gz	165091	138431
MP_E283_2B_NO20_R1_trimmed.fq.gz	241322	219093
MP_E283_3B_NO20_R1_trimmed.fq.gz	236102	223561
MP_E284_1B_NO20_R1_trimmed.fq.gz	229067	201956
MP_E284_2B_NO20_R1_trimmed.fq.gz	173585	164229
MP_E284_3B_NO20_R1_trimmed.fq.gz	43456	41111
MP_E285_1B_NO20_R1_trimmed.fq.gz	222661	188163
MP_E285_2B_NO20_R1_trimmed.fq.gz	205902	179450
MP_E285_3B_NO20_R1_trimmed.fq.gz	216378	194230
MP_E286_1B_NO20_R1_trimmed.fq.gz	205341	182083
MP_E286_2B_NO20_R1_trimmed.fq.gz	203929	177118
MP_E286_3B_NO20_R1_trimmed.fq.gz	236244	220584
MP_E287_1B_NO20_R1_trimmed.fq.gz	280854	267115
MP_E287_2B_NO20_R1_trimmed.fq.gz	214031	194328
MP_E287_3B_NO20_R1_trimmed.fq.gz	216235	197487
MP_E288_1B_NO20_R1_trimmed.fq.gz	205839	181087
MP_E288_2B_NO20_R1_trimmed.fq.gz	297910	282379
MP_E289_1B_NO20_R1_trimmed.fq.gz	187795	178904
MP_E289_2B_NO20_R1_trimmed.fq.gz	232889	221145
MP_E289_3B_NO20_R1_trimmed.fq.gz	174248	166584
MP_E290_1B_NO20_R1_trimmed.fq.gz	207190	194973
MP_E290_2B_NO20_R1_trimmed.fq.gz	239390	226644
MP_E290_3B_NO20_R1_trimmed.fq.gz	193411	177180
MP_E291_1B_NO20_R1_trimmed.fq.gz	270810	256566
MP_E291_2B_NO20_R1_trimmed.fq.gz	239218	226358
MP_E291_3B_NO20_R1_trimmed.fq.gz	240592	225775
MP_E292_1B_NO20_R1_trimmed.fq.gz	234242	219594
MP_E292_2B_NO20_R1_trimmed.fq.gz	231401	218577
MP_E292_3B_NO20_R1_trimmed.fq.gz	258298	239333
MP_E293_1B_NO20_R1_trimmed.fq.gz	245625	233881
MP_E293_2B_NO20_R1_trimmed.fq.gz	266609	253176
MP_E293_3B_NO20_R1_trimmed.fq.gz	261873	246089
MP_E294_1B_NO20_R1_trimmed.fq.gz	239144	226751
MP_E294_2B_NO20_R1_trimmed.fq.gz	279892	262552
MP_E294_3B_NO20_R1_trimmed.fq.gz	252756	238724
MP_E295_1B_NO20_R1_trimmed.fq.gz	245106	232985
MP_E295_2B_NO20_R1_trimmed.fq.gz	252695	237232
MP_E295_3B_NO20_R1_trimmed.fq.gz	297759	279884
MP_E296_1B_NO20_R1_trimmed.fq.gz	290138	274220
MP_E296_2B_NO20_R1_trimmed.fq.gz	258969	245742
MP_E296_3B_NO20_R1_trimmed.fq.gz	225395	213992
MP_E297_1B_NO20_R1_trimmed.fq.gz	217103	204548
MP_E297_2B_NO20_R1_trimmed.fq.gz	221787	211228
MP_E297_3B_NO20_R1_trimmed.fq.gz	316466	299204
MP_E298_1B_NO20_R1_trimmed.fq.gz	207270	196728
MP_E298_2B_NO20_R1_trimmed.fq.gz	278219	262027
MP_E298_3B_NO20_R1_trimmed.fq.gz	235239	220691
MP_E299_1B_NO20_R1_trimmed.fq.gz	252827	239662
MP_E299_2B_NO20_R1_trimmed.fq.gz	247705	231368
MP_E299_3B_NO20_R1_trimmed.fq.gz	205249	193100
MP_E300_1B_NO20_R1_trimmed.fq.gz	236419	221074
MP_E300_2B_NO20_R1_trimmed.fq.gz	258559	245644
MP_E300_3B_NO20_R1_trimmed.fq.gz	266011	251557
MP_E611_1B_WCOA21_R1_trimmed.fq.gz	45138	38370
MP_E614_WCOA21_R1_trimmed.fq.gz	88890	58271
MP_E619_WCOA21_R1_trimmed.fq.gz	107901	97829
MP_E624_WCOA21_R1_trimmed.fq.gz	53755	32832
MP_E645_WCOA21_R1_trimmed.fq.gz	71778	63237
MP_E668_WCOA21_R1_trimmed.fq.gz	81964	65146
MP_E671_WCOA21_R1_trimmed.fq.gz	105724	82509
MP_E678_WCOA21_R1_trimmed.fq.gz	106405	86879
MP_E687_WCOA21_R1_trimmed.fq.gz	170200	136362
MP_E697_WCOA21_R1_trimmed.fq.gz	76459	65046
MP_E731_WCOA21_R1_trimmed.fq.gz	129103	112815
MP_E754_WCOA21_R1_trimmed.fq.gz	59478	51759
MP_E777_WCOA21_R1_trimmed.fq.gz	117629	108274
MP_E782_WCOA21_R1_trimmed.fq.gz	75691	63314
MP_E786_WCOA21_R1_trimmed.fq.gz	107451	97083
MP_E790_WCOA21_R1_trimmed.fq.gz	121462	113202
MP_E806_1B_WCOA21_R1_trimmed.fq.gz	86289	72414
MP_E815_WCOA21_R1_trimmed.fq.gz	89133	80733
MP_E820_WCOA21_R1_trimmed.fq.gz	103529	91693
MP_E828_WCOA21_R1_trimmed.fq.gz	141048	131703
MP_E834_WCOA21_R1_trimmed.fq.gz	113753	100604
MP_E882_1B_WCOA21_R1_trimmed.fq.gz	106239	83825
MP_E888_WCOA21_R1_trimmed.fq.gz	74864	54729
MP_E893_WCOA21_R1_trimmed.fq.gz	33768	28254
MP_E897_WCOA21_R1_trimmed.fq.gz	62477	37573
MP_E902_1B_WCOA21_R1_trimmed.fq.gz	61511	49154
MP_E969_1T_NA128_R1_trimmed.fq.gz	110864	93764
MP_E970_1T_NA128_R1_trimmed.fq.gz	94649	70690
MP_E971_1T_NA128_R1_trimmed.fq.gz	106631	98311
MP_E972_1T_NA128_R1_trimmed.fq.gz	97333	76114
MP_E973_1T_NA128_R1_trimmed.fq.gz	134907	125638
MP_E977_2T_NA128_R1_trimmed.fq.gz	108169	99965
MP_E978_2T_NA128_R1_trimmed.fq.gz	137675	128834
MP_E979_1T_NA128_R1_trimmed.fq.gz	72055	66172
MP_E980_1T_NA128_R1_trimmed.fq.gz	102917	96140
MP_E985_1T_NA128_R1_trimmed.fq.gz	112594	103407
MP_E991_1T_NA128_R1_trimmed.fq.gz	142072	133885
MP_E994_2T_NA128_R1_trimmed.fq.gz	148166	116916
MP_E995_1T_NA128_R1_trimmed.fq.gz	131738	119603
MP_E996_1T_NA128_R1_trimmed.fq.gz	132502	121453
MP_E1005_1T_NA128_R1_trimmed.fq.gz	140298	132769
MP_E1011_2T_NA128_R1_trimmed.fq.gz	171677	164652
MP_E1012_1T_NA128_R1_trimmed.fq.gz	82079	42422
MP_E1013_1T_NA128_R1_trimmed.fq.gz	113624	84223
MP_E1014_1T_NA128_R1_trimmed.fq.gz	142334	128216
MP_E1015_1T_NA128_R1_trimmed.fq.gz	154543	141543
MP_E1020_1T_NA128_R1_trimmed.fq.gz	116738	99325
MP_E1021_1T_NA128_R1_trimmed.fq.gz	124189	105931
MP_E1022_1T_NA128_R1_trimmed.fq.gz	84851	71447
MP_E1024_1T_NA128_R1_trimmed.fq.gz	94333	76781
MP_E1025_1T_NA128_R1_trimmed.fq.gz	106845	93114
MP_E1623_1B_Chaba22_R1_trimmed.fq.gz	166027	152507
MP_E1624_1B_Chaba22_R1_trimmed.fq.gz	158824	148619
MP_E1625_1B_Chaba22_R1_trimmed.fq.gz	79082	74556
MP_E1626_1B_Chaba22_R1_trimmed.fq.gz	103198	90174
MP_E1627_1B_Chaba22_R1_trimmed.fq.gz	168794	157615
MP_E1631_Chaba22_R1_trimmed.fq.gz	152662	142127
MP_E1632_Chaba22_R1_trimmed.fq.gz	112865	104878
MP_E1634_Chaba22_R1_trimmed.fq.gz	184156	170207
MP_E1635_Chaba22_R1_trimmed.fq.gz	147306	137363
MP_E1637_Chaba22_R1_trimmed.fq.gz	146201	132640
MP_E2084_SKQ23_12S_R1_trimmed.fq.gz	25498	23183
MP_E2090_SKQ23_12S_R1_trimmed.fq.gz	94065	50464
MP_E2097_SKQ23_12S_R1_trimmed.fq.gz	67224	63436
MP_E2138_1T_QiavacTest_R1_trimmed.fq.gz	172277	166243
MP_E2138_2T_QiavacTest_R1_trimmed.fq.gz	4798	755
MP_E2139_1T_QiavacTest_R1_trimmed.fq.gz	149962	142342
MP_E2139_2T_QiavacTest_R1_trimmed.fq.gz	123884	118747
MP_E2139_3T_QiavacTest_R1_trimmed.fq.gz	136350	129780
MP_E2139_4T_QiavacTest_R1_trimmed.fq.gz	122053	98948
MP_E2140_Kotzebue23_R1_trimmed.fq.gz	128826	116288
MP_E2141_Kotzebue23_R1_trimmed.fq.gz	127658	117585
MP_E41_NC_DY20_R1_trimmed.fq.gz	30500	2250
MP_E56_NC_DY20_R1_trimmed.fq.gz	16587	1929
MP_E73_NC_DY20_R1_trimmed.fq.gz	21336	2127
MP_E232_NC_NO20_R1_trimmed.fq.gz	2765	792
MP_E301_NC_NO20_R1_trimmed.fq.gz	2100	1799
MP_POSITIVE_R1_trimmed.fq.gz	220726	211101
