Value	Sample	TerminalTaxa
6	MP_E1060_SKQ2021	Levanderina__f
2	MP_E1060_SKQ2021	Shionodiscus sp_ IAL_2014
5	MP_E1060_SKQ2021	Bacillariaceae
188192	MP_E1061_SKQ2021	Unknown
291	MP_E1061_SKQ2021	Peridiniales
22	MP_E1061_SKQ2021	Coscinodiscophyceae
36746	MP_E1061_SKQ2021	Gymnodiniales
1904	MP_E1061_SKQ2021	Dinophyceae
145	MP_E1061_SKQ2021	Cylindrotheca closterium
141	MP_E1061_SKQ2021	Prorocentrales
145	MP_E1061_SKQ2021	Environmental Unknown
4	MP_E1061_SKQ2021	Pseudo_nitzschia granii
2	MP_E1061_SKQ2021	Minidiscus trioculatus
7	MP_E1061_SKQ2021	Chaetocerotales
14	MP_E1061_SKQ2021	Chaetocerotaceae
647	MP_E1061_SKQ2021	Chaetoceros gelidus
1027	MP_E1061_SKQ2021	Pseudo_nitzschia pungens
52	MP_E1061_SKQ2021	Fragilariopsis cylindrus
9	MP_E1061_SKQ2021	Prorocentrum
172	MP_E1061_SKQ2021	Pseudo_nitzschia
747	MP_E1061_SKQ2021	Gyrodinium dominans
7	MP_E1061_SKQ2021	Fragilariopsis oceanica
17697	MP_E1061_SKQ2021	Pseudo_nitzschia delicatissima
40	MP_E1061_SKQ2021	Florenciellales
3	MP_E1061_SKQ2021	Thalassiosira nordenskioeldii
3	MP_E1061_SKQ2021	Thalassiosiraceae
3	MP_E1061_SKQ2021	Chaetoceros cf_ neogracilis clade II
9	MP_E1061_SKQ2021	Levanderina__f__o
40	MP_E1061_SKQ2021	Levanderina__f
23	MP_E1061_SKQ2021	Minidiscus
14	MP_E1061_SKQ2021	Cymatosirales
1	MP_E1061_SKQ2021	Florenciella__f
17	MP_E1061_SKQ2021	Florenciella
47	MP_E1061_SKQ2021	Shimiella gracilenta
3	MP_E1061_SKQ2021	Porosira glacialis
12	MP_E1061_SKQ2021	Kareniaceae
3	MP_E1061_SKQ2021	Cylindrotheca
1	MP_E1061_SKQ2021	Asterionellopsis glacialis
11	MP_E1061_SKQ2021	Pelagodinium
2	MP_E1061_SKQ2021	Eukaryota
2	MP_E1061_SKQ2021	Karlodinium
2	MP_E1061_SKQ2021	Mediophyceae
3	MP_E1061_SKQ2021	Heterocapsa
3	MP_E1061_SKQ2021	Dictyocha speculum
217751	MP_E1062_SKQ2021	Unknown
209	MP_E1062_SKQ2021	Peridiniales
14648	MP_E1062_SKQ2021	Gymnodiniales
1586	MP_E1062_SKQ2021	Dinophyceae
355	MP_E1062_SKQ2021	Cylindrotheca closterium
48	MP_E1062_SKQ2021	Prorocentrales
113	MP_E1062_SKQ2021	Environmental Unknown
22	MP_E1062_SKQ2021	Chaetocerotales
442	MP_E1062_SKQ2021	Chaetoceros gelidus
730	MP_E1062_SKQ2021	Pseudo_nitzschia pungens
37	MP_E1062_SKQ2021	Pseudo_nitzschia seriata
10	MP_E1062_SKQ2021	Prorocentrum
19	MP_E1062_SKQ2021	Bacillariophyceae
46	MP_E1062_SKQ2021	Pseudo_nitzschia
1209	MP_E1062_SKQ2021	Gyrodinium dominans
1	MP_E1062_SKQ2021	Chaetoceros
4	MP_E1062_SKQ2021	Thalassiosira hyalina
35	MP_E1062_SKQ2021	Fragilariopsis oceanica
6	MP_E1062_SKQ2021	Thalassiosira
13	MP_E1062_SKQ2021	Pseudo_nitzschia delicatissima
3	MP_E1062_SKQ2021	Levanderina__f__o
78	MP_E1062_SKQ2021	Levanderina__f
3	MP_E1062_SKQ2021	Fragilariopsis reginae_jahniae
218018	MP_E1063_SKQ2021	Unknown
143	MP_E1063_SKQ2021	Peridiniales
18720	MP_E1063_SKQ2021	Gymnodiniales
2456	MP_E1063_SKQ2021	Dinophyceae
2	MP_E1063_SKQ2021	Bacterosira sp_ RCC4607
517	MP_E1063_SKQ2021	Cylindrotheca closterium
8	MP_E1063_SKQ2021	Prorocentrales
53	MP_E1063_SKQ2021	Environmental Unknown
141	MP_E1063_SKQ2021	Chaetocerotales
956	MP_E1063_SKQ2021	Chaetoceros gelidus
664	MP_E1063_SKQ2021	Pseudo_nitzschia pungens
1	MP_E1063_SKQ2021	Thalassiosirales
17	MP_E1063_SKQ2021	Pseudo_nitzschia seriata
19	MP_E1063_SKQ2021	Fragilariopsis cylindrus
22	MP_E1063_SKQ2021	Prorocentrum
61	MP_E1063_SKQ2021	Bacillariophyceae
63	MP_E1063_SKQ2021	Pseudo_nitzschia
745	MP_E1063_SKQ2021	Gyrodinium dominans
8	MP_E1063_SKQ2021	Chaetoceros
2	MP_E1063_SKQ2021	Thalassiosira hyalina
30	MP_E1063_SKQ2021	Fragilariopsis oceanica
2	MP_E1063_SKQ2021	Thalassiosira
219	MP_E1063_SKQ2021	Pseudo_nitzschia delicatissima
4	MP_E1063_SKQ2021	Florenciellales
11	MP_E1063_SKQ2021	Levanderina__f__o
18	MP_E1063_SKQ2021	Levanderina__f
6	MP_E1063_SKQ2021	Fragilariopsis
195062	MP_E1064_SKQ2021	Unknown
7	MP_E1064_SKQ2021	Peridiniales
34181	MP_E1064_SKQ2021	Gymnodiniales
335	MP_E1064_SKQ2021	Dinophyceae
3427	MP_E1064_SKQ2021	Cylindrotheca closterium
76	MP_E1064_SKQ2021	Prorocentrales
6	MP_E1064_SKQ2021	Environmental Unknown
46	MP_E1064_SKQ2021	Pseudo_nitzschia granii
56	MP_E1064_SKQ2021	Chaetocerotales
36	MP_E1064_SKQ2021	Chaetoceros gelidus
3328	MP_E1064_SKQ2021	Pseudo_nitzschia pungens
51	MP_E1064_SKQ2021	Pseudo_nitzschia seriata
6	MP_E1064_SKQ2021	Fragilariopsis cylindrus
103	MP_E1064_SKQ2021	Prorocentrum
369	MP_E1064_SKQ2021	Pseudo_nitzschia
2280	MP_E1064_SKQ2021	Gyrodinium dominans
9	MP_E1064_SKQ2021	Chaetoceros
265	MP_E1064_SKQ2021	Pseudo_nitzschia delicatissima
2	MP_E1064_SKQ2021	Thalassiosira nordenskioeldii
15	MP_E1064_SKQ2021	Levanderina__f__o
64	MP_E1064_SKQ2021	Levanderina__f
19	MP_E1064_SKQ2021	Shimiella gracilenta
2	MP_E1064_SKQ2021	Chaetoceros atlanticus
59	MP_E1064_SKQ2021	Eukaryota
251430	MP_E1065_SKQ2021	Unknown
23914	MP_E1065_SKQ2021	Peridiniales
11113	MP_E1065_SKQ2021	Gymnodiniales
765	MP_E1065_SKQ2021	Dinophyceae
1	MP_E1065_SKQ2021	Bacterosira sp_ RCC4607
58	MP_E1065_SKQ2021	Cylindrotheca closterium
61	MP_E1065_SKQ2021	Prorocentrales
35	MP_E1065_SKQ2021	Chaetocerotales
2	MP_E1065_SKQ2021	Chaetoceros cf_ neogracilis clade I
338	MP_E1065_SKQ2021	Chaetoceros gelidus
68	MP_E1065_SKQ2021	Pseudo_nitzschia pungens
1	MP_E1065_SKQ2021	Thalassiosirales
120	MP_E1065_SKQ2021	Pseudo_nitzschia seriata
42	MP_E1065_SKQ2021	Fragilariopsis cylindrus
29	MP_E1065_SKQ2021	Prorocentrum
12	MP_E1065_SKQ2021	Bacillariophyceae
29	MP_E1065_SKQ2021	Pseudo_nitzschia
644	MP_E1065_SKQ2021	Gyrodinium dominans
2	MP_E1065_SKQ2021	Chaetoceros
52	MP_E1065_SKQ2021	Fragilariopsis oceanica
13	MP_E1065_SKQ2021	Thalassiosira
3	MP_E1065_SKQ2021	Levanderina__f__o
104	MP_E1065_SKQ2021	Levanderina__f
9	MP_E1065_SKQ2021	Shionodiscus sp_ IAL_2014
9	MP_E1065_SKQ2021	Bacillariaceae
23	MP_E1065_SKQ2021	Fragilariopsis reginae_jahniae
2	MP_E1065_SKQ2021	Azadinium obesum
256552	MP_E1066_SKQ2021	Unknown
16142	MP_E1066_SKQ2021	Peridiniales
11157	MP_E1066_SKQ2021	Gymnodiniales
1449	MP_E1066_SKQ2021	Dinophyceae
339	MP_E1066_SKQ2021	Cylindrotheca closterium
73	MP_E1066_SKQ2021	Prorocentrales
17	MP_E1066_SKQ2021	Chaetocerotales
227	MP_E1066_SKQ2021	Chaetoceros gelidus
119	MP_E1066_SKQ2021	Pseudo_nitzschia pungens
97	MP_E1066_SKQ2021	Pseudo_nitzschia seriata
65	MP_E1066_SKQ2021	Fragilariopsis cylindrus
20	MP_E1066_SKQ2021	Prorocentrum
1	MP_E1066_SKQ2021	Bacillariophyceae
217	MP_E1066_SKQ2021	Gyrodinium dominans
1	MP_E1066_SKQ2021	Chaetoceros
106	MP_E1066_SKQ2021	Fragilariopsis oceanica
13	MP_E1066_SKQ2021	Pseudo_nitzschia delicatissima
1	MP_E1066_SKQ2021	Thalassiosiraceae
11	MP_E1066_SKQ2021	Levanderina__f__o
87	MP_E1066_SKQ2021	Levanderina__f
3	MP_E1066_SKQ2021	Thalassiosira sp_
13	MP_E1066_SKQ2021	Bacillariaceae
1	MP_E1066_SKQ2021	Fragilariopsis reginae_jahniae
3	MP_E1066_SKQ2021	Chaetoceros sp_ CCAP 1010_16
4	MP_E1066_SKQ2021	Thalassiosira gravida
2	MP_E1066_SKQ2021	Mertensia ovum
226638	MP_E1067_SKQ2021	Unknown
1070	MP_E1067_SKQ2021	Peridiniales
44099	MP_E1067_SKQ2021	Gymnodiniales
731	MP_E1067_SKQ2021	Dinophyceae
5771	MP_E1067_SKQ2021	Cylindrotheca closterium
56	MP_E1067_SKQ2021	Prorocentrales
14	MP_E1067_SKQ2021	Pseudo_nitzschia granii
2058	MP_E1067_SKQ2021	Chaetocerotales
7	MP_E1067_SKQ2021	Chaetocerotaceae
37	MP_E1067_SKQ2021	Chaetoceros gelidus
4935	MP_E1067_SKQ2021	Pseudo_nitzschia pungens
2	MP_E1067_SKQ2021	Pseudo_nitzschia seriata
59	MP_E1067_SKQ2021	Pseudo_nitzschia
104	MP_E1067_SKQ2021	Gyrodinium dominans
6	MP_E1067_SKQ2021	Chaetoceros
67	MP_E1067_SKQ2021	Pseudo_nitzschia delicatissima
3	MP_E1067_SKQ2021	Florenciellales
14	MP_E1067_SKQ2021	Chaetoceros cf_ neogracilis clade II
1	MP_E1067_SKQ2021	Levanderina__f__o
35	MP_E1067_SKQ2021	Levanderina__f
7	MP_E1067_SKQ2021	Shimiella gracilenta
7	MP_E1067_SKQ2021	Chaetoceros atlanticus
3	MP_E1067_SKQ2021	Bacillariaceae
15	MP_E1067_SKQ2021	Eukaryota
36	MP_E1067_SKQ2021	Chaetoceros sp_ CCAP 1010_16
240296	MP_E1068_SKQ2021	Unknown
15747	MP_E1068_SKQ2021	Peridiniales
10479	MP_E1068_SKQ2021	Gymnodiniales
545	MP_E1068_SKQ2021	Dinophyceae
1	MP_E1068_SKQ2021	Bacterosira sp_ RCC4607
73	MP_E1068_SKQ2021	Cylindrotheca closterium
31	MP_E1068_SKQ2021	Prorocentrales
10	MP_E1068_SKQ2021	Pseudo_nitzschia granii
38	MP_E1068_SKQ2021	Chaetocerotales
2	MP_E1068_SKQ2021	Chaetoceros cf_ neogracilis clade I
5	MP_E1068_SKQ2021	Chaetocerotaceae
168	MP_E1068_SKQ2021	Chaetoceros gelidus
123	MP_E1068_SKQ2021	Pseudo_nitzschia pungens
442	MP_E1068_SKQ2021	Pseudo_nitzschia seriata
8	MP_E1068_SKQ2021	Fragilariopsis cylindrus
27	MP_E1068_SKQ2021	Prorocentrum
4	MP_E1068_SKQ2021	Pseudo_nitzschia
310	MP_E1068_SKQ2021	Gyrodinium dominans
1	MP_E1068_SKQ2021	Chaetoceros
36	MP_E1068_SKQ2021	Fragilariopsis oceanica
1	MP_E1068_SKQ2021	Thalassiosira
7	MP_E1068_SKQ2021	Pseudo_nitzschia delicatissima
2	MP_E1068_SKQ2021	Levanderina__f__o
53	MP_E1068_SKQ2021	Levanderina__f
7	MP_E1068_SKQ2021	Shionodiscus sp_ IAL_2014
3	MP_E1068_SKQ2021	Bacillariaceae
9	MP_E1068_SKQ2021	Fragilariopsis reginae_jahniae
1	MP_E1068_SKQ2021	Azadinium obesum
248056	MP_E1069_SKQ2021	Unknown
16865	MP_E1069_SKQ2021	Peridiniales
9598	MP_E1069_SKQ2021	Gymnodiniales
769	MP_E1069_SKQ2021	Dinophyceae
398	MP_E1069_SKQ2021	Cylindrotheca closterium
86	MP_E1069_SKQ2021	Prorocentrales
1	MP_E1069_SKQ2021	Pseudo_nitzschia granii
176	MP_E1069_SKQ2021	Chaetocerotales
4	MP_E1069_SKQ2021	Chaetocerotaceae
106	MP_E1069_SKQ2021	Chaetoceros gelidus
313	MP_E1069_SKQ2021	Pseudo_nitzschia pungens
46	MP_E1069_SKQ2021	Pseudo_nitzschia seriata
10	MP_E1069_SKQ2021	Fragilariopsis cylindrus
22	MP_E1069_SKQ2021	Prorocentrum
9	MP_E1069_SKQ2021	Bacillariophyceae
