Sample	Unknown	Peridiniales	Coscinodiscophyceae	Gymnodiniales	Dinophyceae	Bacterosira sp_ RCC4607	Cylindrotheca closterium	Prorocentrales	Environmental Unknown	Pseudo_nitzschia granii	Minidiscus trioculatus	Chaetocerotales	Chaetoceros cf_ neogracilis clade I	Chaetocerotaceae	Chaetoceros gelidus	Pseudo_nitzschia pungens	Thalassiosirales	Pseudo_nitzschia seriata	Fragilariopsis cylindrus	Prorocentrum	Bacillariophyceae	Pseudo_nitzschia	Gyrodinium dominans	Chaetoceros	Thalassiosira hyalina	Fragilariopsis oceanica	Thalassiosira	Gymnodiniaceae	Pseudo_nitzschia delicatissima	Florenciellales	Thalassiosira nordenskioeldii	Thalassiosiraceae	Chaetoceros cf_ neogracilis clade II	Thalassiosira sp_ RCC4858	Levanderina__f__o	Levanderina__f	Minidiscus	Cymatosirales	Suessiales	Thalassiosira sp_	Florenciella__f	Florenciella	Pelagomonadales	Shimiella gracilenta	Porosira glacialis	Shionodiscus sp_ IAL_2014	Kareniaceae	Fragilariopsis	Cylindrotheca	Chaetoceros atlanticus	Bacillariaceae	Karlodinium veneficum	Tovelliaceae	Azadinium dalianense	Heterocapsa triquetra	Asterionellopsis glacialis	Gyrodinium	Pseudochattonella	Pelagodinium	Eukaryota	Karlodinium	Mediophyceae	Heterocapsa	Dictyocha speculum	Fragilariopsis reginae_jahniae	Azadinium obesum	Chaetoceros sp_ CCAP 1010_16	Thalassiosira gravida	Mertensia ovum	Polarella glacialis	Laminariales	Scrippsiella	Thalassiosira bioculata	Suessiaceae	Gonyaulacales	Rhaponeidales	Shimiella	Porosira	Bacillariales	Chaetoceros cf_ neogracilis clade IV	Peridiniaceae	Skeletonemataceae	Azadinium perforatum	Karlodinium elegans	Gymnodinium	Aureococcus__f	Gymnodinium aureolum	Pseudo_nitzschia pseudodelicatissima	Chaetoceros cf_ neogracilis clade III	Corethron hystrix	Biecheleriaceae	Phaeophyceae	Prorocentrum criophilum	Thalassiosira aff_ guillardii IAL_2014	Tentaculata	Ctenophora sp_ _in_ diatoms_	Limacina helicina	Pythiales	Bacterosira	Fragilariopsis pacifica	Conticribra	Azadinium trinitatum	Hyperia galba	Luticola ventricosa	Diadesmidaceae	
MP_E1073_SKQ2021	167574	1356	0	13068	307	0	1561	11	0	32	0	132	6	2	62	1373	0	9	0	75	0	42	205	0	0	0	0	0	24	0	0	0	5	0	0	170	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1074_SKQ2021	217356	1541	0	17518	921	0	117	32	0	1	0	40	2	0	137	3	0	234	13	32	0	14	192	4	0	34	19	0	5	0	0	0	0	0	15	226	0	0	0	0	0	0	0	0	0	11	2	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1075_SKQ2021	208098	3498	0	22196	1124	0	177	48	0	5	0	34	1	0	357	11	0	263	11	9	0	10	409	15	0	31	17	9	7	0	0	0	0	0	21	184	1	0	0	0	0	0	0	0	0	27	0	0	0	0	23	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1076_SKQ2021	258246	3765	0	25631	2283	0	918	41	0	0	0	124	0	15	49	771	0	0	0	67	0	9	119	13	0	0	0	0	0	0	0	0	0	0	15	154	0	0	0	0	0	0	0	0	0	22	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1077_SKQ2021	219283	896	0	33219	835	0	40	130	295	0	0	62	0	0	351	2901	0	18	10	25	34	108	1208	6	11	26	0	7	9509	10	0	6	0	0	27	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1078_SKQ2021	200356	491	9	33554	1772	0	15	472	141	0	0	123	0	9	695	4250	2	0	19	116	16	98	822	8	0	26	0	0	10762	27	0	7	0	0	50	180	9	4	0	3	0	0	0	18	0	6	6	0	0	0	8	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1079_SKQ2021	198353	763	5	31115	1733	2	95	25	91	0	4	81	0	9	786	4976	0	0	0	36	0	159	1524	11	0	0	2	0	14539	128	0	8	11	0	21	96	4	16	0	2	1	0	0	69	1	0	18	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1080_SKQ2021	174534	65	0	28537	1590	3	0	118	169	30	0	122	2	72	7507	428	7	16	87	2	18	98	347	4	0	11	0	12	12612	55	2	2	0	0	0	15	7	4	0	0	3	3	0	23	0	0	11	0	2	0	13	0	0	2	61	3	0	0	5	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1081_SKQ2021	124915	226	0	46698	1950	1	0	155	26	1	0	114	3	8	3571	249	3	0	178	28	0	30	1626	22	0	16	2	0	1320	26	2	0	0	0	20	64	4	0	0	0	0	19	0	28	0	0	2	6	2	0	16	0	0	0	23	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MP_E1082_SKQ2021	171682	768	3	60050	1013	4	0	358	307	89	9	112	0	156	2433	662	7	6	44	51	47	86	3026	23	1	13	0	0	12062	40	0	5	0	18	46	51	4	0	0	0	6	11	0	9	2	0	10	0	0	0	0	4	18	0	506	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	69	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
