sample	lat	long	replicate	Site	Depth	bottle	Fluorescence WET Labs ECO-AFL/FL [mg/m^3]	CStarAt0 Beam Attenuation WET Labs C-Star [1/m]	CStarTr0 Beam Transmission WET Labs C-Star %	oxy_conc_ch1 (micromole/kg)	salinity_ch1 (PSU)	salinity_ch2 (PSU)	sigma_t_ch1 (kg m-3)	sigma_t_ch2 (kg m-3)	temperature_ch1 (degree_C)	temperature_ch2 (degree_C)	pressure (decibar)	time (UTC)
E1987.SKQ23-12S	71.4483	-164.91624	E1987	IC04	10.232	12	0.0856	0.4213	90.004	324.574	30.5598	30.5703	24.3588	24.367	2.7898	2.7915	10.338	2023-9-27T11:52:59
E1988.SKQ23-12S	71.6009	-165.30478	E1988	IC03	36.818	1	0.6163	1.6316	66.5045	266.78	32.4822	32.4941	26.1137	26.1235	-1.0248	-1.0309	37.202	2023-9-27T22:18:43
E1989.SKQ23-12S	71.6009	-165.30478	E1989	IC03	10.065	13	0.1291	0.4292	89.8263	325.9	30.4845	30.4961	24.3034	24.3122	2.7292	2.7348	10.169	2023-9-27T22:28:1
E1990.SKQ23-12S	71.70562	-165.60136	E1990	IC02	35.791	1	0.5887	1.5711	67.519	286.534	32.4677	32.4793	26.0944	26.1036	-0.7976	-0.7896	36.164	2023-9-28T1:32:26
E1991.SKQ23-12S	71.70562	-165.60134	E1991	IC02	10.082	14	0.1669	0.4488	89.3868	325.562	30.4662	30.4774	24.2835	24.2924	2.7978	2.7986	10.186	2023-9-28T1:41:25
E1992.SKQ23-12S	71.83038	-165.96636	E1992	IC01	38.766	1	0.5423	1.426	70.0119	295.539	32.4173	32.4262	26.0515	26.0586	-0.737	-0.7336	39.17	2023-9-28T6:24:57
E1993.SKQ23-12S	71.83034	-165.96426	E1993	IC01	10.348	14	0.3172	0.5581	87.0103	326.016	30.2878	30.2957	24.1389	24.1452	2.8271	2.8279	10.455	2023-9-28T6:35:3
E1994.SKQ23-12S	67.6771	-168.9495	E1994	DBO3.8	44.985	1	0.216	2.8801	48.6741	236.261	32.4226	32.4342	25.8352	25.8443	2.9161	2.9171	45.444	2023-9-29T21:49:27
E1995.SKQ23-12S	67.67712	-168.94984	E1995	DBO3.8	30.1	8	0.5165	0.781	82.2636	310.386	30.0769	30.0886	23.9994	24.0087	2.4384	2.4394	30.406	2023-9-29T21:55:5
E1996.SKQ23-12S	67.67716	-168.95032	E1996	DBO3.8	10.011	17	0.7799	0.711	83.715	319.724	27.1807	27.1928	21.6229	21.6327	3.3613	3.3591	10.112	2023-9-29T22:1:32
E1997.SKQ23-12S	67.78288	-168.59756	E1997	DBO3.7	44.847	1	0.2058	2.1925	57.8024	219.164	32.533	32.5439	25.8911	25.8997	3.2853	3.2866	45.304	2023-9-30T1:31:33
E1998.SKQ23-12S	67.78276	-168.59789	E1998	DBO3.7	30.161	8	0.1831	0.541	87.3509	289.58	30.8771	30.8721	24.3536	24.3545	5.5012	5.4571	30.467	2023-9-30T1:35:45
E1999.SKQ23-12S	67.78254	-168.59866	E1999	DBO3.7	10.11	15	1.132	0.7586	82.7253	332.922	28.219	28.1991	22.4911	22.4743	2.7961	2.8085	10.212	2023-9-30T1:41:3
