cast,date,time,nb,Sbeox0ML/L,Sbeox0PS,Sbox0Mm/Kg,Sbeox1ML/L,Sbeox1PS,Sbox1Mm/Kg,Sal00,Sal11,Sigma-t00,Sigma-t11,FlECO-AFL,T090C,T190C,TurbWETntu0,PrDM
ctd043,11-Sep-20,13:01:19,3,6.051,86.184,263.6,5.942,84.631,258.852,32.0183,32.0214,25.1784,25.1807,0.3284,6.1549,6.1557,1.0718,29.536
ctd043,11-Sep-20,13:01:20,4,6.0475,86.123,263.449,5.9449,84.662,258.98,32.0193,32.0226,25.1798,25.1823,0.3169,6.1491,6.1497,1.1489,29.751
ctd043,11-Sep-20,13:02:48,5,6.2776,92.24,273.783,6.1627,90.553,268.773,30.8229,30.8295,24.0169,24.0216,1.1368,7.8442,7.8475,0.9861,15.02
ctd043,11-Sep-20,13:02:55,6,6.2674,92.099,273.337,6.1599,90.52,268.65,30.8268,30.8296,24.0195,24.0219,1.1149,7.8472,7.8464,0.9833,15.103
ctd043,11-Sep-20,13:04:13,7,6.4639,94.505,282.014,6.3563,92.932,277.319,30.3249,30.3231,23.6367,23.6353,1.7175,7.7677,7.7675,1.2142,2.553
ctd043,11-Sep-20,13:04:14,8,6.4994,95.029,283.56,6.3629,93.032,277.602,30.3313,30.3306,23.6416,23.6412,1.8522,7.7684,7.7675,1.3523,2.966
ctd057,14-Sep-20,2:45:39,1,6.3791,75.682,277.49,6.1725,73.231,268.501,33.1588,33.161,26.6746,26.6764,1.8814,-1.4329,-1.4322,1.9159,45.774
ctd057,14-Sep-20,2:45:41,2,6.3773,75.66,277.413,6.1733,73.24,268.537,33.1586,33.1609,26.6744,26.6763,1.8957,-1.4334,-1.4325,1.8961,45.328
ctd057,14-Sep-20,2:46:59,3,6.3448,75.272,275.997,6.1512,72.975,267.576,33.1574,33.1602,26.6735,26.6757,1.8863,-1.434,-1.4331,1.7802,30.452
ctd057,14-Sep-20,2:47:00,4,6.3452,75.277,276.014,6.1478,72.935,267.426,33.1573,33.1602,26.6734,26.6758,1.9076,-1.434,-1.4331,1.753,30.307
ctd057,14-Sep-20,2:48:35,5,10.3279,129.104,449.712,9.5983,119.984,417.943,32.0044,32.0481,25.6453,25.6834,0.5699,0.8558,0.8028,0.2437,16.1
ctd057,14-Sep-20,2:48:42,6,10.2944,128.913,448.265,9.508,119.066,414.025,31.9688,32.0234,25.6122,25.6599,0.5576,0.934,0.8688,0.2558,16.091
ctd057,14-Sep-20,2:49:44,7,7.5843,99.07,331.153,7.4039,96.714,323.276,28.7111,28.716,22.8307,22.8346,0.1801,3.4859,3.486,0.1778,2.443
ctd057,14-Sep-20,2:49:45,8,7.5794,99.008,330.942,7.4,96.664,323.108,28.7114,28.7158,22.8309,22.8344,0.1953,3.4861,3.4864,0.1812,3.35
ctd056,13-Sep-20,23:51:30,1,5.8022,68.552,252.388,5.7025,67.373,248.049,33.1935,33.196,26.7072,26.7092,0.6874,-1.5968,-1.5958,1.5841,48.148
ctd056,13-Sep-20,23:51:35,2,5.7907,68.417,251.884,5.6908,67.237,247.541,33.1927,33.195,26.7065,26.7084,0.6733,-1.5955,-1.5946,1.8419,48.986
ctd056,13-Sep-20,23:52:58,3,6.0496,71.5,263.15,5.8968,69.695,256.505,33.175,33.1772,26.6917,26.6934,1.0187,-1.5781,-1.577,1.0786,32.158
ctd056,13-Sep-20,23:52:59,4,5.9889,70.791,260.512,5.8454,69.095,254.269,33.1699,33.1723,26.6874,26.6893,1.1046,-1.5728,-1.5718,1.0138,31.828
ctd056,13-Sep-20,23:54:25,5,7.6991,104.879,335.654,7.4071,100.901,322.923,30.8117,30.8172,24.3956,24.4004,0.4082,4.6201,4.6159,0.2045,15.606
ctd056,13-Sep-20,23:54:27,6,7.4411,100.568,324.445,7.2761,98.338,317.25,30.6236,30.6161,24.2735,24.2675,0.3901,4.3467,4.3476,0.1894,15.21
ctd056,13-Sep-20,23:55:35,7,7.6164,99.014,332.616,7.4306,96.599,324.503,28.4713,28.4736,22.6501,22.6519,0.1418,3.3581,3.358,0.1739,1.865
ctd056,13-Sep-20,23:55:36,8,7.6196,99.04,332.759,7.3965,96.139,323.012,28.4585,28.4616,22.6401,22.6426,0.1456,3.3551,3.3555,0.1761,2.726
ctd042,11-Sep-20,11:04:17,1,6.0211,83.514,262.203,5.9158,82.053,257.616,32.3154,32.3189,25.5527,25.5555,0.2124,4.9512,4.9511,2.3391,43.062
ctd042,11-Sep-20,11:04:18,2,6.0118,83.384,261.796,5.9139,82.027,257.534,32.3154,32.319,25.5527,25.5555,0.1922,4.9509,4.9513,2.2875,43.19
ctd042,11-Sep-20,11:05:29,3,6.186,87.9,269.463,6.0744,86.314,264.6,32.0957,32.099,25.2543,25.2568,0.3844,6.0327,6.0342,0.9442,30.86
ctd042,11-Sep-20,11:05:30,4,6.1614,87.53,268.389,6.0573,86.051,263.852,32.1055,32.1098,25.2636,25.2669,0.364,6.0201,6.0208,0.9948,31.829
ctd042,11-Sep-20,11:06:36,5,6.1772,90.271,269.224,6.0369,88.222,263.113,31.6022,31.6084,24.6922,24.697,0.833,7.3825,7.3828,0.6014,14.093
