ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_19197	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_19198	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	NA
ASV_192	Eukaryota	Ciliophora	Spirotrichea	Strombidiidae__o	Strombidiidae	NA	NA
ASV_1920	Eukaryota	Euglenozoa	Euglenida	Neometanema__f__o	NA	NA	NA
ASV_19200	Eukaryota	Chordata	Thaliacea	Salpida	Salpidae	Salpa	NA
ASV_19201	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_19202	Eukaryota	Ciliophora	Spirotrichea	Choreotrichida	Leegaardiellidae	Leegaardiella	NA
ASV_19203	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_19204	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_19205	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_19206	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_19207	Eukaryota	Choanoflagellata__p	Choanoflagellata	NA	NA	NA	NA
ASV_19208	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
ASV_19209	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Ankistrodinium	Ankistrodinium semilunatum
ASV_1921	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	NA
ASV_19210	Eukaryota	Dinophyceae__p	Dinophyceae	Dinophysales	Dinophysaceae	Dinophysis	Dinophysis acuminata
ASV_19211	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Protoperidiniaceae	NA	NA
ASV_19212	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Kareniaceae	NA	NA
ASV_19213	Eukaryota	Cnidaria	Anthozoa	Scleralcyonacea	Virgulariidae	NA	NA
ASV_19214	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Kareniaceae	Karlodinium	NA
ASV_19215	Eukaryota	Ancyromonadida__c__p	Ancyromonadida__c	Ancyromonadida	Planomonadidae	Planomonas	NA
ASV_19216	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Pfiesteriaceae	NA	NA
ASV_19217	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_19218	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	NA
ASV_19219	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	Gymnodiniaceae	NA	NA
ASV_1922	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	NA	NA	NA
ASV_19220	Eukaryota	Dinophyceae__p	Dinophyceae	NA	NA	NA	NA
ASV_19221	Eukaryota	Euglenozoa	Diplonemea	Eupelagonemidae__o	Eupelagonemidae	NA	NA
ASV_19222	Eukaryota	Annelida	Polychaeta	Opheliidae__o	Opheliidae	Travisia	NA
ASV_19223	Eukaryota	Euglenozoa	Diplonemea	NA	NA	NA	NA
