dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
MP_E475_PCR3	109490	104320	104291	104280	103761	101410	92.6
MP_E486_PCR2	123478	115023	114654	114576	113063	108720	88
MP_E486_PCR3	128325	122350	121937	121856	120361	115089	89.7
MP_E491_MiFishMod	100838	94047	93989	93984	93713	93007	92.2
MP_E492_1B_PCR2	156389	147735	147602	147658	147277	146586	93.7
MP_E492_1B_PCR3	42692	40743	40734	40723	40708	40604	95.1
MP_E494_PCR2	106323	100507	100242	100145	98961	96007	90.3
MP_E494_PCR3	91163	86243	86010	85999	85225	83232	91.3
MP_E496_1T_PCR2	91063	85451	85393	85362	85012	84408	92.7
MP_E496_1T_PCR3	106965	101098	100984	101002	100264	99643	93.2
MP_E496_3B_PCR2	96239	91183	91059	91109	90827	90275	93.8
MP_E496_3B_PCR3	96481	91224	91107	91120	90709	90038	93.3
MP_E498_1B_PCR2	98418	93040	92909	92861	92228	89819	91.3
MP_E498_1B_PCR3	89003	83197	83101	83054	82446	80681	90.6
MP_E498_2B_PCR2	94117	87866	87740	87706	87244	85774	91.1
MP_E498_2B_PCR3	115961	108673	108563	108488	107719	105569	91
MP_E498_3B_PCR2	102516	94750	94644	94557	93441	91590	89.3
MP_E498_3B_PCR3	96983	91781	91669	91588	91068	88917	91.7
MP_E573_1B_PCR2	129124	118856	118555	118497	117101	110700	85.7
MP_E573_1B_PCR3	100640	95608	95326	95421	94371	89672	89.1
MP_E573_2B_PCR2	140141	132686	132361	132335	130835	124565	88.9
MP_E573_2B_PCR3	140829	133769	133462	133489	132121	125763	89.3
MP_E573_3B_PCR2	130696	123446	123133	123037	121570	114131	87.3
MP_E573_3B_PCR3	145464	136996	136538	136515	134636	125815	86.5
MP_E574_1B_PCR2	111244	103683	103488	103470	102576	97679	87.8
MP_E574_1B_PCR3	121741	114535	114256	114186	112694	106839	87.8
MP_E574_2B_PCR2	104751	98877	98718	98732	97944	95646	91.3
MP_E574_2B_PCR3	101481	96223	96007	96007	95067	91499	90.2
MP_E574_3B_PCR2	102696	97471	97369	97354	96805	94777	92.3
MP_E574_3B_PCR3	93858	89134	89051	89038	88624	87283	93
MP_E575_1B_PCR2	53687	51623	51623	51613	51404	51391	95.7
MP_E575_1B_PCR3	40674	39049	39046	39044	38968	38961	95.8
MP_E575_2B_PCR2	77252	72884	72846	72865	72515	71433	92.5
MP_E575_2B_PCR3	78907	74119	74114	74086	73418	72724	92.2
MP_E575_3B_PCR2	122874	118025	117873	117916	117261	115981	94.4
MP_E575_3B_PCR3	73596	67352	67341	67301	66855	66204	90
MP_E598_1B_PCR2	152118	144203	143847	143850	142432	139148	91.5
MP_E598_1B_PCR3	112790	103805	103638	103554	102749	100894	89.5
MP_E598_2B_PCR2	122969	116170	115843	115841	114720	111906	91
MP_E598_2B_PCR3	117436	111425	111193	111141	110286	108242	92.2
MP_E598_3B_PCR2	118572	113127	112859	112813	111779	109352	92.2
MP_E598_3B_PCR3	109238	102377	102102	102145	100919	98785	90.4
MP_E600_1B_PCR2	82455	77987	77973	77974	77760	77336	93.8
MP_E600_1B_PCR3	91682	86635	86626	86619	86418	85763	93.5
MP_E600_2B_PCR2	106568	101296	101235	101209	100655	98360	92.3
MP_E600_2B_PCR3	106412	101011	100981	100851	100155	96752	90.9
MP_E600_3B_PCR2	113866	106067	106012	106008	105507	103393	90.8
MP_E600_3B_PCR3	135936	129542	129444	129390	128655	125484	92.3
MP_E610_NC	1940	1706	1699	1702	1696	1696	87.4
MP_E690_MiFishMod	126409	121960	121809	121702	120397	119840	94.8
MP_POSITIVE	118650	110725	110702	110722	109747	109686	92.4
