Sample	ASV	count	Kingdom	Phylum	Class	Order	Family	Genus	Species	(common name)
MP_E882_1B_WCOA21	ASV_278	250	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Hansarsia	Hansarsia megalops	
MP_E1625_1B_Chaba22	ASV_279	17	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E1631_Chaba22	ASV_279	134	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E1634_Chaba22	ASV_279	11	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E1637_Chaba22	ASV_279	735	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E2097_SKQ23_12S	ASV_279	215	Eukaryota	Arthropoda	Thecostraca	Balanomorpha				
MP_E1631_Chaba22	ASV_28	49865	Eukaryota	Mollusca	Bivalvia	Pectinida	Pectinidae	Chlamys	Chlamys hastata	
MP_E1637_Chaba22	ASV_28	397	Eukaryota	Mollusca	Bivalvia	Pectinida	Pectinidae	Chlamys	Chlamys hastata	
MP_E777_WCOA21	ASV_280	457	Eukaryota	Bryozoa	Phylactolaemata	Fredericellidae__o	Fredericellidae	Fredericella		
MP_E2138_1T_QiavacTest	ASV_280	176	Eukaryota	Bryozoa	Phylactolaemata	Fredericellidae__o	Fredericellidae	Fredericella		
MP_E2138_2T_QiavacTest	ASV_280	15	Eukaryota	Bryozoa	Phylactolaemata	Fredericellidae__o	Fredericellidae	Fredericella		
MP_E2139_1T_QiavacTest	ASV_280	218	Eukaryota	Bryozoa	Phylactolaemata	Fredericellidae__o	Fredericellidae	Fredericella		
MP_E2139_2T_QiavacTest	ASV_280	209	Eukaryota	Bryozoa	Phylactolaemata	Fredericellidae__o	Fredericellidae	Fredericella		
MP_E2139_3T_QiavacTest	ASV_280	6	Eukaryota	Bryozoa	Phylactolaemata	Fredericellidae__o	Fredericellidae	Fredericella		
MP_E2139_4T_QiavacTest	ASV_280	26	Eukaryota	Bryozoa	Phylactolaemata	Fredericellidae__o	Fredericellidae	Fredericella		
MP_E972_1T_NA128	ASV_281	119	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiolepididae			
MP_E973_1T_NA128	ASV_281	52	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiolepididae			
MP_E977_2T_NA128	ASV_281	454	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiolepididae			
MP_E978_2T_NA128	ASV_281	4	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiolepididae			
MP_E1014_1T_NA128	ASV_281	112	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiolepididae			
MP_E1015_1T_NA128	ASV_281	8	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiolepididae			
MP_E1020_1T_NA128	ASV_281	219	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiolepididae			
MP_E1021_1T_NA128	ASV_281	122	Eukaryota	Echinodermata	Ophiuroidea	Amphilepidida	Ophiolepididae			
MP_E969_1T_NA128	ASV_282	1080	Eukaryota							
MP_E977_2T_NA128	ASV_283	474	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E978_2T_NA128	ASV_283	598	Eukaryota	Mollusca	Bivalvia	Nuculida	Nuculidae	Ennucula		
MP_E754_WCOA21	ASV_284	1067	Eukaryota	Chordata	Chondrichthyes	Torpediniformes	Torpedinidae	Tetronarce	Tetronarce californica	(Pacific electric ray)
MP_E820_WCOA21	ASV_285	1063	Eukaryota							
MP_E1635_Chaba22	ASV_286	1061	Eukaryota	Chordata	Chondrichthyes					
MP_E2141_Kotzebue23	ASV_287	1059	Eukaryota	Arthropoda	Insecta	Diptera	Chironomidae	Paratrissocladius	Paratrissocladius sp_	
MP_E678_WCOA21	ASV_288	547	Eukaryota	Echinodermata	Crinoidea	Comatulida	Antedonidae			
MP_E977_2T_NA128	ASV_288	269	Eukaryota	Echinodermata	Crinoidea	Comatulida	Antedonidae			
MP_E991_1T_NA128	ASV_288	88	Eukaryota	Echinodermata	Crinoidea	Comatulida	Antedonidae			
MP_E1012_1T_NA128	ASV_288	75	Eukaryota	Echinodermata	Crinoidea	Comatulida	Antedonidae			
MP_E1626_1B_Chaba22	ASV_288	77	Eukaryota	Echinodermata	Crinoidea	Comatulida	Antedonidae			
MP_E624_WCOA21	ASV_289	1051	Eukaryota	Mollusca	Bivalvia	Adapedonta	Hiatellidae	Hiatella		
MP_E1631_Chaba22	ASV_29	5876	Eukaryota	Chordata	Chondrichthyes					
MP_E1632_Chaba22	ASV_29	4729	Eukaryota	Chordata	Chondrichthyes					
MP_E1635_Chaba22	ASV_29	37861	Eukaryota	Chordata	Chondrichthyes					
MP_E2140_Kotzebue23	ASV_290	1048	Eukaryota	Arthropoda	Insecta					
MP_E671_WCOA21	ASV_291	735	Eukaryota	Nemertea	Palaeonemertea	Tubulaniformes	Tubulanidae	Tubulanus	Tubulanus sp_ 3 TCH_2015	
MP_E828_WCOA21	ASV_291	246	Eukaryota	Nemertea	Palaeonemertea	Tubulaniformes	Tubulanidae	Tubulanus	Tubulanus sp_ 3 TCH_2015	
MP_E994_2T_NA128	ASV_291	5	Eukaryota	Nemertea	Palaeonemertea	Tubulaniformes	Tubulanidae	Tubulanus	Tubulanus sp_ 3 TCH_2015	
MP_E996_1T_NA128	ASV_291	46	Eukaryota	Nemertea	Palaeonemertea	Tubulaniformes	Tubulanidae	Tubulanus	Tubulanus sp_ 3 TCH_2015	
MP_E1626_1B_Chaba22	ASV_291	5	Eukaryota	Nemertea	Palaeonemertea	Tubulaniformes	Tubulanidae	Tubulanus	Tubulanus sp_ 3 TCH_2015	
MP_E1626_1B_Chaba22	ASV_292	1036	Eukaryota	Echinodermata	Asteroidea					
