ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_8844	Eukaryota	Cryptophyceae__p	Cryptophyceae	Cryptomonadales	Hemiselmidaceae	Hemiselmis	Hemiselmis cryptochromatica
ASV_8845	Eukaryota	Arthropoda	Pycnogonida	NA	NA	NA	NA
ASV_8846	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Protoperidiniaceae	Protoperidinium	Protoperidinium sp_
ASV_8847	Unknown	NA	NA	NA	NA	NA	NA
ASV_8848	Unknown	NA	NA	NA	NA	NA	NA
ASV_8849	Eukaryota	Chordata	Mammalia	Carnivora	Mustelidae	Mustela	Mustela lutreola
ASV_885	Eukaryota	Telonemida__c__p	Telonemida__c	Telonemida	Telonema__f	Telonema	Telonema rivulare
ASV_8850	Unknown	NA	NA	NA	NA	NA	NA
ASV_8851	Unknown	NA	NA	NA	NA	NA	NA
ASV_8852	Unknown	NA	NA	NA	NA	NA	NA
ASV_8853	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Heterocapsaceae	Heterocapsa	Heterocapsa rotundata
ASV_886	Eukaryota	Dinophyceae__p	Dinophyceae	Dinophysales	Dinophysaceae	Dinophysis	NA
ASV_887	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_8872	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	NA	NA	NA
ASV_8873	Unknown	NA	NA	NA	NA	NA	NA
ASV_8874	Eukaryota	Dinophyceae__p	Dinophyceae	Syndiniales	NA	NA	NA
ASV_8875	Eukaryota	Euglenozoa	Diplonemea	Diplonemidae__o	Diplonemidae	NA	NA
ASV_8876	Unknown	NA	NA	NA	NA	NA	NA
ASV_8877	Eukaryota	Dinophyceae__p	Dinophyceae	Gymnodiniales	NA	NA	NA
ASV_8878	Eukaryota	Dinophyceae__p	Dinophyceae	Peridiniales	Heterocapsaceae	NA	NA
ASV_8879	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_888	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_8880	Eukaryota	Porifera	Calcarea	NA	NA	NA	NA
ASV_8881	Eukaryota	Cryptomycota	NA	NA	NA	NA	NA
ASV_8882	Eukaryota	Haptophyta	Phaeocystales__c	Phaeocystales	Phaeocystaceae	NA	NA
ASV_8883	Eukaryota	Cryptophyceae__p	Cryptophyceae	Pyrenomonadales	Geminigeraceae	NA	NA
ASV_8884	Environmental Unknown	NA	NA	NA	NA	NA	NA
ASV_8885	Eukaryota	Cercozoa	Imbricatea	Thaumatomonadida	Thaumatomastigidae	NA	NA
ASV_8886	Eukaryota	Cercozoa	Thecofilosea	Ventricleftida	Ventrifissuridae	Ventrifissura	Ventrifissura sp_ SRT224
