
Start of run:
Tue Jun 11 09:51:36 PDT 2024

Invoked script options:
/usr/bin/REVAMP/revamp.sh -p config_files/MiFish_config_file.txt -f config_files/figure_config_file.txt -s metadata/MiFish_metadata.txt -r renamed/MiFish -o MiFish_RUN1

Running Cutadapt: Tue Jun 11 09:51:40 PDT 2024
Finished Cutadapt: Tue Jun 11 09:57:45 PDT 2024
Sample	Passing Reads	Passing bp
MP_E1323_OC1021_PCR2	97.9%	78.6%
MP_E1323_OC1021_PCR3	95.0%	74.1%
MP_E1324_OC1021_PCR1	97.9%	67.9%
MP_E1324_OC1021_PCR2	99.1%	73.8%
MP_E1324_OC1021_PCR3	99.0%	71.7%
MP_E1325_OC1021_PCR1	97.2%	76.7%
MP_E1325_OC1021_PCR2	96.3%	72.6%
MP_E1325_OC1021_PCR3	94.2%	68.2%
MP_E1389_OC0722	99.2%	89.9%
MP_E1390_OC0722	98.7%	78.3%
MP_E1391_OC0722	98.9%	79.6%
MP_E1403_OC0722	99.4%	75.3%
MP_E1404_OC0722	86.2%	77.5%
MP_E1406_OC0722	98.5%	79.9%
MP_E1408_OC0722	78.1%	70.0%
MP_E1410_OC0722	99.5%	71.8%
MP_E1412_OC0722	98.9%	81.7%
MP_E1414_OC0722	99.3%	82.1%
MP_E1416_OC0722	97.6%	86.4%
MP_E1418_OC0722	98.5%	81.9%
MP_E1420_OC0722	97.5%	84.0%
MP_E1422_OC0722	98.5%	85.8%
MP_E1424_OC0722	92.7%	82.6%
MP_E1426_OC0722	99.0%	79.2%
MP_E1845_OC0623	99.3%	81.7%
MP_E1846_OC0623	99.3%	79.5%
MP_E1847_OC0623	98.6%	82.3%
MP_E1849_OC0723	99.6%	73.0%
MP_E1850_OC0723	87.0%	78.1%
MP_E1851_OC0723	96.1%	83.1%
MP_E1852_OC0723	98.9%	78.9%
MP_E1853_OC0723	95.9%	84.8%
MP_E1854_OC0723	99.1%	75.3%
MP_E1855_OC0723	95.8%	82.6%
MP_E1856_OC0723	94.9%	85.2%
MP_E1857_OC0723	96.9%	80.2%
MP_E1858_OC0723	97.3%	83.0%
MP_E1859_OC0723	97.3%	83.5%
MP_E1860_OC0723	96.2%	77.9%
MP_E1861_OC0723	96.4%	76.4%
MP_E1862_OC0723	97.9%	80.6%
MP_E1863_OC0723	98.9%	76.6%
MP_E1864_OC0723	97.5%	73.6%
MP_E1865_OC0723	97.7%	79.0%
MP_E1866_OC0723	96.5%	86.6%
MP_E1867_OC0723	99.4%	78.3%
MP_E1868_OC0723	91.5%	80.9%
MP_E1869_OC0723	97.2%	78.5%
MP_E1870_OC0723	96.7%	76.0%
MP_E1871_OC0723	98.9%	76.5%
MP_E1872_OC0723	98.1%	80.3%
MP_E1873_OC0723	99.2%	82.1%
MP_E1874_OC0723	99.1%	79.7%
MP_E1875_OC0723	99.2%	82.1%
MP_E2128_1B	94.9%	70.0%
MP_E2128_2B	95.1%	82.0%
MP_E2128_4B	93.0%	75.5%
MP_E2129_1B	95.0%	64.1%
MP_E2129_2B	73.3%	66.4%
MP_E2129_3B	98.2%	66.4%
MP_E2129_4B	98.3%	84.7%
MP_E2129_5B	88.5%	58.1%
MP_E2130_1B	89.8%	75.7%
MP_E2130_2B	95.5%	79.2%
MP_E2130_3B	86.2%	76.4%
MP_E2130_4B	86.9%	73.3%
MP_E2130_5B	85.3%	69.0%
MP_E2131_1B	80.8%	68.3%
MP_E2131_2B	84.6%	71.5%
MP_E2131_3B	83.0%	66.9%
MP_E2131_4B	78.4%	67.8%
