Sample	lat	long	replicates	sites	controls	group1	group2	group3	group4	group5	group6	samp_vol	depth
MP_E1247_OC0922	47.87445	-124.7345	E1247.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
MP_E1248_OC0922	47.87445	-124.7345	E1248.OC0922	TeahwhiteHead	NA	deep	2022	Aug	2022_Aug	OCNMS	PPS	1000	34
MP_E1249_OC0922	47.87445	-124.7345	E1249.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1250_OC0922	47.87445	-124.7345	E1250.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1251_OC0922	47.87445	-124.7345	E1251.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1252_OC0922	47.87445	-124.7345	E1252.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1253_OC0922	47.87445	-124.7345	E1253.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1254_OC0922	47.87445	-124.7345	E1254.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1255_OC0922	47.87445	-124.7345	E1255.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1256_OC0922	47.87445	-124.7345	E1256.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1257_OC0922	47.87445	-124.7345	E1257.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1258_OC0922	47.87445	-124.7345	E1258.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1259_OC0922	47.87445	-124.7345	E1259.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1260_OC0922	47.87445	-124.7345	E1260.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1261_OC0922	47.87445	-124.7345	E1261.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1262_OC0922	47.87445	-124.7345	E1262.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1263_OC0922	47.87445	-124.7345	E1263.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	PPS	1000	34
MP_E1265_OC0922_PCR1	47.87445	-124.7345	E1265.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.2286
MP_E1265_OC0922_PCR2	47.87445	-124.7345	E1265.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.2286
MP_E1265_OC0922_PCR3	47.87445	-124.7345	E1265.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.2286
MP_E1266_OC0922_PCR1	47.87445	-124.7345	E1266.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	32.6952
MP_E1266_OC0922_PCR2	47.87445	-124.7345	E1266.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	32.6952
MP_E1266_OC0922_PCR3	47.87445	-124.7345	E1266.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	32.6952
MP_E1267_OC0922_PCR1	47.87445	-124.7345	E1267.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.0688
MP_E1267_OC0922_PCR2	47.87445	-124.7345	E1267.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.0688
MP_E1267_OC0922_PCR3	47.87445	-124.7345	E1267.OC0922	TeahwhiteHead	NA	deep	2022	Sep	2022_Sep	OCNMS	Niskin	1000	33.0688
MP_E1275_OC1021	47.87788333	-124.739	E1275.OC1021	TeahwhiteHead	NA	deep	2021	Aug	2021_Aug	OCNMS	PPS	1000	34
