ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_831	Eukaryota	Mollusca	Bivalvia	Cardiida	Tellinidae	NA	NA
ASV_832	Eukaryota	Echinodermata	Echinoidea	Spatangoida	NA	NA	NA
ASV_833	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_834	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_835	Eukaryota	Mollusca	Bivalvia	Pectinida	Pectinidae	Cyclopecten	Cyclopecten sp_ DJC_2016
ASV_836	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	NA	NA	NA
ASV_837	Bacteria	Bacteroidota	Flavobacteriia	Flavobacteriales	NA	NA	NA
ASV_838	Eukaryota	Porifera	Demospongiae	Poecilosclerida	zzOther	zzOther	zzOther
ASV_840	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	zzOther	NA	NA
ASV_841	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	NA	NA
ASV_842	Eukaryota	Echinodermata	Echinoidea	Spatangoida	NA	NA	NA
ASV_843	Eukaryota	Nemertea	zzOther	zzOther	NA	NA	NA
ASV_844	Eukaryota	Chordata	Actinopteri	Perciformes	NA	NA	NA
ASV_845	Eukaryota	Chordata	Actinopteri	NA	NA	NA	NA
ASV_846	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	zzOther	zzOther	zzOther
ASV_847	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica
ASV_848	Eukaryota	Hemichordata	Enteropneusta	Ptychoderidae__o	Ptychoderidae	NA	NA
ASV_849	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	NA
ASV_85	Eukaryota	Picozoa	NA	NA	NA	NA	NA
ASV_850	Eukaryota	Bryozoa	Gymnolaemata	Cheilostomatida	zzOther	NA	NA
ASV_851	Eukaryota	Porifera	Demospongiae	NA	NA	NA	NA
ASV_852	Eukaryota	Arthropoda	Malacostraca	zzOther	zzOther	zzOther	zzOther
ASV_853	Eukaryota	Mollusca	Bivalvia	Cardiida	Tellinidae	Macoma	zzOther
ASV_854	Eukaryota	Arthropoda	Branchiopoda	Diplostraca	zzOther	zzOther	zzOther
ASV_855	Eukaryota	Mollusca	Bivalvia	zzOther	zzOther	NA	NA
ASV_856	Eukaryota	Chordata	Actinopteri	Perciformes	NA	NA	NA
ASV_857	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_858	Eukaryota	Chordata	Actinopteri	Gadiformes	Merlucciidae	Merluccius	NA
ASV_859	Eukaryota	zzOther	zzOther	zzOther	zzOther	zzOther	zzOther
ASV_86	Eukaryota	Mollusca	Cephalopoda	NA	NA	NA	NA
ASV_862	Eukaryota	Arthropoda	Thecostraca	Balanomorpha	NA	NA	NA
