x	E370	E378	E384	E388	E392	E396	E400	E404	E408	E411	E423	E427	E431	E435	E438	E442	E446	E449	E451	E455	E458	E467	E471	E472	E475	E486	E492	E499	E501	E506	E516	E520	E524	E528	E529	E532	E536	E540	E543	E552	E555	E560	E561	E562	E565	E566	E569	E570	E573	E579	E583	E588	E590	E594	E598	E601	E604	E607	E632	E635	E638	E655	E658	E661	E675	E685	E688	E691	E694	E707	E713	E716	E721	E725	E750	E758	E761	E768	E773	E811	E824	E829	E840	E846	E852	E856	E860	E872	E875
ASV_1045	0	0	0	0	0.811118999978485	0.0819516571487724	0	0	0	0	0	0	0.00534145234089149	0	0	0.0150202021719212	0.0155987119920669	0.00101593493952647	0	0	0.19970288107937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00116183826049576	0	0.0433338148201647	0	0	0	0.370100573362158	0	0.0158026498548651	0	0	0	0.0649007622066259	0.00954836245583882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00283704039945529	0	0.790582874587623	0	0	0	0	0	0.0880926352434222	0	0	0	0.000927643784786642	0.000963314735819114	0	0	0	0	0.0192950861847183	0	0.00334509974410607	0.0353931931298356	0
ASV_1046	0	0	0	0	0	0	0	0	0.0607996702390767	0	0	0	0	0	0	0	0	0.00226724933090752	0	0	0	0.00453476545545241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00467651853237487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00641844404079563	0.00106498540969989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1047	0	0	0	0	0	0	0	0	0	0	0.00395833195891251	0	0	0	0	0	0.0160224497410085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.370413610842824	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217447532199402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.3044738316164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111312906438573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00450606065157637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.12388533427377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118935733118195	0	0	0	0	0	0	0.110141191633956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177149055525959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1059	0	0	0	0	0	1.11971843135902	0	0	2.9719703215169	0	0	0.0829352441613588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0215410913689711	0	0	0	0	0	1.58617628260657	0	0	0	0	0	0	0.0854522149395926	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.3770710340887	0	12.0357516865152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
